session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,escape,affective,21,13.866652799999999,4.200004200004201,4.622222222222223,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,0,,0.0,,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,0.0,0.0
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,1,0.999999,0.20000020000020002,0.33333333333333337,0.038461538461538464,0.038461499999999996
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,escape,affective,6,2.8666638,1.2000012000012001,0.9555555555555557,0.23076923076923078,0.1102563
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,40,,8.000008000008002,,1.5384615384615385,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,28,,5.600005600005601,,1.0769230769230769,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,attending,affective,8,2.6333306999999997,1.6000016000016002,0.8777777777777778,0.5,0.16458316874999998
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,3,0.39999959999999996,0.6000006000006001,0.13333333333333333,0.1875,0.024999974999999997
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,0.0,0.0
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,escape,affective,25,24.833308499999998,5.000005000005001,8.277777777777779,1.5625,1.5520817812499998
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,20,,4.000004000004001,,1.25,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,13,,2.6000026000026004,,0.8125,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,3,1.1333322,0.6000006000006001,0.37777777777777777,0.13636363636363635,0.051515099999999994
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,0.0,0.0
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,escape,affective,6,6.4999934999999995,1.2000012000012001,2.1666666666666665,0.2727272727272727,0.29545425
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,13,,2.6000026000026004,,0.5909090909090909,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,7,,1.4000014000014003,,0.3181818181818182,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,attending,affective,2,0.2333331,0.41185260267745116,0.08008237043816498,0.08695652173913043,0.010144917391304348
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,lickbite,affective,14,7.8333255,2.882968218742158,2.6884795789955387,0.6086956521739131,0.3405793695652174
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,guarding,affective,1,0.999999,0.20592630133872558,0.34321015902070706,0.043478260869565216,0.04347821739130435
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,escape,affective,25,22.5333108,5.148157533468139,7.733668916599933,1.0869565217391304,0.9797091652173913
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,withdrawal,reflexive,36,,7.413346848194121,,1.565217391304348,
1,F1,F,1,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.36637529999996,4.856106254999999,1,0.0,flinch,reflexive,22,,4.530378629451962,,0.9565217391304348,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,escape,affective,10,11.0333223,2.0000020000020005,3.677777777777778,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,0,,0.0,,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,attending,affective,6,1.2666654,1.2000012000012001,0.4222222222222223,0.3,0.06333327
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,26,8.7666579,5.200005200005201,2.9222222222222225,1.3,0.438332895
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,11,10.333323,2.2000022000022,3.444444444444445,0.55,0.51666615
2,F2,F,1,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.99969999999996,4.999994999999999,0,0.0,escape,affective,17,14.7666519,3.4000034000034005,4.9222222222222225,0.85,0.7383325949999999
