file,stimulus,first_mark,last_mark,n,t_start,t_end,span_s
female1bottom000126_09_0212_00_19,Mild touch,1,26,26,319.8330135,566.5661001,246.73308659999998
female1bottom000126_09_0212_00_19,Pin prick,27,42,16,640.5993593999999,939.1323941999999,298.5330348
female1bottom000126_09_0212_00_19,Light,43,64,22,1030.5323028,1306.998693,276.4663902
female1bottom000126_09_0212_00_19,heat,65,87,23,1389.5319438,1646.7983531999998,257.2664094
female2bottom000226_09_0212_33_04_009,Heat,1,2,2,300.49969949999996,303.89969609999997,3.3999965999999997
female2bottom000226_09_0212_33_04_009,Mild touch,3,3,1,303.9330294,303.9330294,0.0
female2bottom000226_09_0212_33_04_009,Heat,4,7,4,309.13302419999997,385.4329479,76.2999237
female2bottom000226_09_0212_33_04_009,Mild touch,8,8,1,385.46628119999997,385.46628119999997,0.0
female2bottom000226_09_0212_33_04_009,Heat,9,9,1,423.33290999999997,423.33290999999997,0.0
female2bottom000226_09_0212_33_04_009,Mild touch,10,10,1,423.46624319999995,423.46624319999995,0.0
female2bottom000226_09_0212_33_04_009,Heat,11,13,3,426.4995735,496.2995037,69.79993019999999
female2bottom000226_09_0212_33_04_009,Mild touch,14,14,1,496.332837,496.332837,0.0
female2bottom000226_09_0212_33_04_009,Heat,15,17,3,498.19950179999995,573.7994262,75.59992439999999
female2bottom000226_09_0212_33_04_009,Mild touch,18,18,1,573.9660927,573.9660927,0.0
female2bottom000226_09_0212_33_04_009,Heat,19,19,1,576.332757,576.332757,0.0
female2bottom000226_09_0212_33_04_009,Mild touch,20,26,7,577.6994222999999,737.332596,159.6331737
female2bottom000226_09_0212_33_04_009,Heat,27,29,3,737.4992625,810.7325225999999,73.2332601
female2bottom000226_09_0212_33_04_009,Mild touch,30,40,11,869.8657968,937.5657291,67.6999323
female2bottom000226_09_0212_33_04_009,Pin Prick,41,71,31,1033.1989667999999,1268.0653986,234.8664318
female2bottom000226_09_0212_33_04_009,Light,72,88,17,1401.2319321,1675.2983247,274.0663926
