Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,pin prick,9192,306.3664
,2,1,pin prick,9413,313.7330
,3,1,pin prick,10878,362.5663
,4,1,pin prick,10992,366.3663
,5,1,pin prick,11037,367.8663
,6,1,pin prick,11079,369.2663
,7,1,pin prick,11136,371.1663
,8,2,Mild touch,11138,371.2330
,9,1,pin prick,13144,438.0996
,10,1,pin prick,13202,440.0329
,11,1,pin prick,13254,441.7662
,12,1,pin prick,13351,444.9996
,13,1,pin prick,13377,445.8662
,14,1,pin prick,16929,564.2661
,15,1,pin prick,16981,565.9994
,16,1,pin prick,17068,568.8994
,17,1,pin prick,17090,569.6328
,18,1,pin prick,17156,571.8328
,19,1,pin prick,17212,573.6994
,20,1,pin prick,17250,574.9661
,21,1,pin prick,17331,577.6661
,22,1,pin prick,17384,579.4328
,23,2,Mild touch,23523,784.0659
,24,2,Mild touch,23604,786.7659
,25,2,Mild touch,23670,788.9659
,26,2,Mild touch,23688,789.5659
,27,2,Mild touch,23754,791.7659
,28,2,Mild touch,23783,792.7325
,29,2,Mild touch,24375,812.4659
,30,2,Mild touch,24425,814.1325
,31,2,Mild touch,24494,816.4325
,32,2,Mild touch,24525,817.4658
,33,2,Mild touch,24642,821.3658
,34,2,Mild touch,24705,823.4658
,35,2,Mild touch,27136,904.4991
,36,2,Mild touch,27170,905.6324
,37,2,Mild touch,27210,906.9658
,38,2,Mild touch,27280,909.2991
,39,2,Mild touch,27290,909.6324
,40,2,Mild touch,27300,909.9658
,41,2,Mild touch,27311,910.3324
,42,2,Mild touch,27484,916.0991
,43,2,Mild touch,27524,917.4324
,44,2,Mild touch,27664,922.0991
,45,2,Mild touch,27681,922.6657
,46,2,Mild touch,27706,923.4991
,47,2,Mild touch,30677,1022.5323
,48,2,Mild touch,30782,1026.0323
,49,3,light,30803,1026.7323
,50,2,Mild touch,30824,1027.4323
,51,3,light,30893,1029.7323
,52,2,Mild touch,30902,1030.0323
,53,2,Mild touch,30940,1031.2990
,54,3,light,30973,1032.3990
,55,3,light,31004,1033.4323
,56,3,light,34368,1145.5655
,57,3,light,34464,1148.7655
,58,3,light,34602,1153.3655
,59,3,light,34623,1154.0655
,60,3,light,34709,1156.9322
,61,3,light,34929,1164.2655
,62,3,light,35868,1195.5655
,63,3,light,36052,1201.6988
,64,3,light,36604,1220.0988
,65,3,light,36667,1222.1988
,66,3,light,37957,1265.1987
,67,3,light,38023,1267.3987
,68,3,light,38110,1270.2987
,69,3,light,38128,1270.8987
,70,3,light,38184,1272.7654
,71,3,light,38288,1276.2321
,72,4,heat,41904,1396.7653
,73,4,heat,41931,1397.6653
,74,4,heat,41979,1399.2653
,75,4,heat,42038,1401.2319
,76,4,heat,44535,1484.4652
,77,4,heat,45024,1500.7652
,78,4,heat,45058,1501.8985
,79,4,heat,45134,1504.4318
,80,4,heat,45165,1505.4652
,81,4,heat,46785,1559.4651
,82,4,heat,46827,1560.8651
,83,4,heat,50416,1680.4983
,84,4,heat,50452,1681.6983
,85,4,heat,50498,1683.2317
,86,4,heat,50510,1683.6316
,87,4,heat,50537,1684.5316
,88,4,heat,50598,1686.5650
,89,4,heat,50658,1688.5650
,90,4,heat,50706,1690.1650
,91,4,heat,50743,1691.3983
