file,t1,t2,dt_s,stim1,stim2,kind
female2bottom000226_09_0212_33_04_009,303.89969609999997,303.9330294,0.033333299999999996,Heat,Mild touch,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,385.4329479,385.46628119999997,0.033333299999999996,Heat,Mild touch,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,423.33290999999997,423.46624319999995,0.13333319999999999,Heat,Mild touch,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,496.1995038,496.2995037,0.09999989999999999,Heat,Heat,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,496.2995037,496.332837,0.033333299999999996,Heat,Mild touch,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,498.19950179999995,498.4328349,0.2333331,Heat,Heat,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,573.7994262,573.9660927,0.1666665,Heat,Mild touch,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,737.332596,737.4992625,0.1666665,Mild touch,Heat,MIS-KEY? (different stimulus)
female2bottom000226_09_0212_33_04_009,1154.5988453999998,1154.7655118999999,0.1666665,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1154.7655118999999,1155.1321782,0.3666663,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1155.1321782,1155.2321781,0.09999989999999999,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1160.9321724,1161.1655054999999,0.2333331,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1169.0654975999998,1169.2988307,0.2333331,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1205.7321276,1205.9321274,0.19999979999999998,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1205.9321274,1206.332127,0.39999959999999996,Pin Prick,Pin Prick,duplicate (same stimulus)
female2bottom000226_09_0212_33_04_009,1207.5321258,1207.8654588,0.333333,Pin Prick,Pin Prick,duplicate (same stimulus)
