frame,time_s,affective_code,affective_label,affective_code_ml,affective_label_ml,withdrawal,flinch,withdrawal_ml,flinch_ml,stim_index,stim_code,stimulus,sec_since_delivery,uncertain,exclude_from_training,corrected
1,0.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
2,0.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
3,0.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
4,0.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
5,0.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
6,0.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
7,0.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
8,0.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
9,0.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
10,0.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
11,0.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
12,0.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
13,0.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
14,0.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
15,0.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
16,0.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
17,0.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
18,0.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
19,0.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
20,0.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
21,0.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
22,0.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
23,0.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
24,0.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
25,0.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
26,0.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
27,0.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
28,0.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
29,0.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
30,0.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
31,1.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
32,1.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
33,1.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
34,1.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
35,1.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
36,1.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
37,1.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
38,1.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
39,1.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
40,1.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
41,1.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
42,1.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
43,1.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
44,1.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
45,1.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
46,1.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
47,1.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
48,1.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
49,1.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
50,1.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
51,1.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
52,1.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
53,1.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
54,1.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
55,1.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
56,1.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
57,1.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
58,1.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
59,1.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
60,1.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
61,2.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
62,2.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
63,2.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
64,2.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
65,2.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
66,2.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
67,2.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
68,2.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
69,2.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
70,2.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
71,2.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
72,2.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
73,2.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
74,2.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
75,2.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
76,2.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
77,2.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
78,2.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
79,2.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
80,2.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
81,2.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
82,2.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
83,2.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
84,2.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
85,2.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
86,2.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
87,2.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
88,2.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
89,2.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
90,2.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
91,3.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
92,3.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
93,3.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
94,3.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
95,3.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
96,3.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
97,3.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
98,3.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
99,3.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
100,3.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
101,3.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
102,3.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
103,3.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
104,3.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
105,3.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
106,3.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
107,3.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
108,3.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
109,3.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
110,3.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
111,3.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
112,3.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
113,3.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
114,3.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
115,3.8,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
116,3.8333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
117,3.8667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
118,3.9,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
119,3.9333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
120,3.9667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
121,4.0,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
122,4.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
123,4.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
124,4.1,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
125,4.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
126,4.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
127,4.2,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
128,4.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
129,4.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
130,4.3,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
131,4.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
132,4.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
133,4.4,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
134,4.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
135,4.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
136,4.5,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
137,4.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
138,4.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
139,4.6,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
140,4.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
141,4.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
142,4.7,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
143,4.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,,0,0,1
