day,mouse,sex,stimulus,behaviour,window_s,isolated,clearance_s,responded
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,5.5,0
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,5.5,0
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,10.97,0
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,10.97,0
Day1 no drug,F1,F,Mild touch,attending,10.0,1,10.97,0
Day1 no drug,F1,F,Mild touch,lickbite,10.0,1,10.97,0
Day1 no drug,F1,F,Mild touch,guarding,10.0,1,10.97,0
Day1 no drug,F1,F,Mild touch,escape,10.0,1,10.97,1
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,20.97,1
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,20.97,1
Day1 no drug,F1,F,Mild touch,attending,10.0,1,20.97,0
Day1 no drug,F1,F,Mild touch,lickbite,10.0,1,20.97,0
Day1 no drug,F1,F,Mild touch,guarding,10.0,1,20.97,0
Day1 no drug,F1,F,Mild touch,escape,10.0,1,20.97,1
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,12.9,0
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,12.9,0
Day1 no drug,F1,F,Mild touch,attending,10.0,1,12.9,0
Day1 no drug,F1,F,Mild touch,lickbite,10.0,1,12.9,0
Day1 no drug,F1,F,Mild touch,guarding,10.0,1,12.9,0
Day1 no drug,F1,F,Mild touch,escape,10.0,1,12.9,0
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,0.9,0
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,0.9,1
Day1 no drug,F1,F,Mild touch,withdrawal,3.0,0,17.8,0
Day1 no drug,F1,F,Mild touch,flinch,3.0,0,17.8,0
Day1 no drug,F1,F,Mild touch,attending,10.0,1,17.8,0
Day1 no drug,F1,F,Mild touch,lickbite,10.0,1,17.8,0
Day1 no drug,F1,F,Mild touch,guarding,10.0,1,17.8,0
