Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,heat,9107,303.5330
,2,1,heat,9159,305.2664
,3,1,heat,9210,306.9664
,4,1,heat,9254,308.4330
,5,1,heat,11035,367.7996
,6,1,heat,11096,369.8330
,7,1,heat,11099,369.9330
,8,1,heat,12869,428.9329
,9,1,heat,12917,430.5329
,10,1,heat,12954,431.7662
,11,1,heat,13346,444.8329
,12,1,heat,13397,446.5329
,13,1,heat,13470,448.9662
,14,1,heat,17247,574.8661
,15,1,heat,17303,576.7328
,16,2,Mild touch,20555,685.1326
,17,2,Mild touch,20679,689.2660
,18,2,Mild touch,20728,690.8993
,19,2,Mild touch,20795,693.1326
,20,2,Mild touch,20927,697.5326
,21,2,Mild touch,21186,706.1660
,22,2,Mild touch,21783,726.0659
,23,2,Mild touch,21880,729.2993
,24,2,Mild touch,22090,736.2993
,25,2,Mild touch,22133,737.7326
,26,2,Mild touch,22185,739.4659
,27,2,Mild touch,22250,741.6326
,28,2,Mild touch,22273,742.3993
,29,2,Mild touch,22312,743.6993
,30,2,Mild touch,23627,787.5325
,31,2,Mild touch,23696,789.8325
,32,2,Mild touch,23738,791.2325
,33,2,Mild touch,23792,793.0325
,34,2,Mild touch,23806,793.4992
,35,2,Mild touch,23887,796.1992
,36,2,Mild touch,24190,806.2992
,37,2,Mild touch,24472,815.6992
,38,2,Mild touch,24515,817.1325
,39,2,Mild touch,25383,846.0658
,40,2,Mild touch,25512,850.3658
,41,2,Mild touch,25676,855.8325
,42,2,Mild touch,28013,933.7324
,43,2,Mild touch,28127,937.5324
,44,2,Mild touch,28149,938.2657
,45,2,Mild touch,28187,939.5324
,46,3,pin prick,31155,1038.4656
,47,3,pin prick,31234,1041.0990
,48,3,pin prick,31282,1042.6990
,49,3,pin prick,31416,1047.1656
,50,3,pin prick,33048,1101.5656
,51,3,pin prick,33102,1103.3656
,52,3,pin prick,33127,1104.1989
,53,3,pin prick,33178,1105.8989
,54,3,pin prick,35173,1172.3988
,55,3,pin prick,35272,1175.6988
,56,3,pin prick,35372,1179.0322
,57,3,pin prick,36930,1230.9654
,58,3,pin prick,37007,1233.5321
,59,3,pin prick,37071,1235.6654
,60,3,pin prick,37080,1235.9654
,61,3,pin prick,37119,1237.2654
,62,3,pin prick,37331,1244.3321
,63,3,pin prick,37346,1244.8321
,64,3,pin prick,37357,1245.1988
,65,3,pin prick,38124,1270.7654
,66,3,pin prick,38176,1272.4987
,67,4,mild ,41843,1394.7319
,68,4,mild ,42028,1400.8986
,69,4,mild ,42055,1401.7986
,70,4,mild ,42342,1411.3653
,71,4,mild ,42391,1412.9986
,72,4,mild ,42451,1414.9986
,73,4,mild ,45161,1505.3318
,74,4,mild ,45233,1507.7318
,75,4,mild ,45276,1509.1652
,76,4,mild ,45522,1517.3651
,77,4,mild ,45862,1528.6985
,78,4,mild ,45959,1531.9318
,79,4,mild ,46057,1535.1985
,80,4,mild ,46175,1539.1318
,81,4,mild ,46307,1543.5318
,82,4,mild ,48650,1621.6317
,83,4,mild ,48733,1624.3984
,84,4,mild ,48773,1625.7317
,85,4,mild ,49000,1633.2984
