Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,Mild touch,1,5.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,2,1,Mild touch,2,10.97,1,0,0,0.00,0,0.00,0,0.00,1,0.10,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,3,1,Mild touch,3,20.97,1,3,0,0.00,0,0.00,0,0.00,2,0.40,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,4,1,Mild touch,4,12.90,1,3,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,5,1,Mild touch,5,0.90,0,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,6,1,Mild touch,6,17.80,1,1,0,0.00,0,0.00,0,0.00,1,0.70,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,7,1,Mild touch,7,2.73,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,8,1,Mild touch,8,30.00,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,9,1,Mild touch,9,2.07,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,10,1,Mild touch,10,2.53,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,11,1,Mild touch,11,1.87,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,12,1,Mild touch,12,3.23,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,13,1,Mild touch,13,2.43,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,14,1,Mild touch,14,5.83,1,2,0,0.00,0,0.00,0,0.00,2,1.03,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,15,1,Mild touch,15,3.07,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000126_09_0212_00_19.avi,dual view; guard min 2.0s
