Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,heat,1,1.73,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,2,1,heat,2,1.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,3,1,heat,3,1.47,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,4,1,heat,4,30.00,1,0,2,0.23,0,0.00,0,0.00,9,5.13,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,5,1,heat,5,2.03,1,0,0,0.00,0,0.00,0,0.00,2,0.10,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,6,1,heat,6,0.10,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,7,1,heat,7,30.00,1,0,0,0.00,7,0.40,0,0.00,8,4.57,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,8,1,heat,8,1.60,1,0,0,0.00,1,0.07,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,9,1,heat,9,1.23,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,10,1,heat,10,13.07,1,2,7,0.67,0,0.00,0,0.00,9,0.60,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,11,1,heat,11,1.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,12,1,heat,12,2.43,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,13,1,heat,13,30.00,1,0,0,0.00,45,7.70,0,0.00,2,0.20,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,14,1,heat,14,1.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,15,1,heat,15,30.00,1,0,3,1.03,3,0.47,0,0.00,8,1.23,,female3bottom000326_09_0213_03_46_008.avi,dual view; guard min 2.0s
