Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,mild touch,1,6.90,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,2,1,mild touch,2,2.47,1,0,0,0.00,2,0.53,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,3,1,mild touch,3,2.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,4,1,mild touch,4,3.03,1,1,0,0.00,0,0.00,0,0.00,1,0.33,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,5,1,mild touch,5,1.47,0,1,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,6,1,mild touch,6,1.63,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,7,1,mild touch,7,1.20,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,8,1,mild touch,8,30.00,1,2,1,0.80,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,9,1,mild touch,9,3.97,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,10,1,mild touch,10,8.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,11,1,mild touch,11,8.60,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,12,1,mild touch,12,5.13,1,2,0,0.00,0,0.00,0,0.00,1,0.27,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,13,1,mild touch,13,1.17,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,14,1,mild touch,14,11.63,1,1,0,0.00,0,0.00,0,0.00,1,0.60,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,15,1,mild touch,15,2.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,16,1,mild touch,16,0.93,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,17,1,mild touch,17,30.00,1,0,0,0.00,1,1.60,0,0.00,1,1.93,,male1bottom000626_09_0214_37_16_006.avi,dual view; guard min 2.0s
