Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,pin prick,1,11.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,2,1,pin prick,2,3.10,1,2,0,0.00,0,0.00,0,0.00,3,0.57,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,3,1,pin prick,3,3.77,1,0,0,0.00,0,0.00,0,0.00,2,0.37,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,4,1,pin prick,4,0.53,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,5,1,pin prick,5,2.07,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,6,1,pin prick,6,3.23,1,2,1,0.20,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,7,1,pin prick,7,30.00,1,3,2,0.40,2,0.30,0,0.00,2,1.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,8,1,pin prick,8,5.17,1,2,0,0.00,0,0.00,0,0.00,2,1.27,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,9,1,pin prick,9,2.20,1,1,1,0.17,1,0.17,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,10,1,pin prick,10,30.00,1,2,0,0.00,0,0.00,0,0.00,2,4.60,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,11,1,pin prick,11,0.53,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,12,1,pin prick,12,3.20,1,3,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,13,1,pin prick,13,1.27,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,14,1,pin prick,14,2.90,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,15,1,pin prick,15,14.03,1,3,0,0.00,1,0.23,0,0.00,2,0.70,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,16,1,pin prick,16,2.73,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,17,1,pin prick,17,2.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,18,1,pin prick,18,0.90,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,19,1,pin prick,19,30.00,1,1,4,1.67,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,20,1,pin prick,20,2.87,1,1,1,0.33,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,21,1,pin prick,21,3.47,1,1,1,0.17,1,0.40,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,22,1,pin prick,22,1.37,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,23,1,pin prick,23,30.00,0,0,2,0.80,1,0.17,0,0.00,5,2.97,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,24,2,Mild touch,1,0.93,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,25,2,Mild touch,2,1.03,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,26,2,Mild touch,3,3.27,0,1,0,0.00,0,0.00,0,0.00,1,0.47,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,27,2,Mild touch,4,1.27,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,28,2,Mild touch,5,2.30,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,29,2,Mild touch,6,7.43,1,1,0,0.00,0,0.00,0,0.00,2,0.70,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
