session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,escape,affective,5,7.233326099999999,1.0000010000010002,2.411111111111111,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,0,,0.0,,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,lickbite,affective,1,0.2333331,0.1666668333335,0.06481481481481481,0.058823529411764705,0.013725476470588235
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,guarding,affective,1,0.999999,0.1666668333335,0.2777777777777778,0.058823529411764705,0.05882347058823529
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,escape,affective,3,5.3666613,0.5000005000005,1.4907407407407407,0.17647058823529413,0.3156859588235294
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,withdrawal,reflexive,16,,2.666669333336,,0.9411764705882353,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block1_Pin prick,stimulus,1,1,Pin prick,17,359.99964,5.999994,0,0.0,flinch,reflexive,4,,0.666667333334,,0.23529411764705882,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,lickbite,affective,2,2.3999976,0.3400721330061969,0.6801435858681276,0.13333333333333333,0.15999983999999998
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,guarding,affective,6,10.0666566,1.0202163990185906,2.852824485169091,0.4,0.67111044
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,escape,affective,4,6.4666602,0.6801442660123938,1.8326091063668997,0.26666666666666666,0.43111067999999997
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,withdrawal,reflexive,11,,1.8703967315340826,,0.7333333333333333,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block2_Heat,stimulus,2,2,Heat,15,352.8663138,5.88110523,0,0.0,flinch,reflexive,1,,0.17003606650309844,,0.06666666666666667,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,lickbite,affective,7,3.2666633999999997,1.1928441351900598,0.9277667329357191,0.5384615384615384,0.2512818
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,guarding,affective,1,0.999999,0.1704063050271514,0.28401022436807727,0.07692307692307693,0.07692299999999999
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,escape,affective,0,0.0,0.0,0.0,0.0,0.0
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,withdrawal,reflexive,7,,1.1928441351900598,,0.5384615384615384,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block3_Mild touch,stimulus,3,3,Mild touch,13,352.0996479,5.868327464999999,0,0.0,flinch,reflexive,7,,1.1928441351900598,,0.5384615384615384,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,attending,affective,3,0.7333326,0.611482889820564,0.2491224096931265,0.23076923076923078,0.0564102
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,lickbite,affective,3,3.1666635,0.611482889820564,1.0757558600385007,0.23076923076923078,0.2435895
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,guarding,affective,5,7.8666588,1.01913814970094,2.672404031253539,0.38461538461538464,0.6051276
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,escape,affective,0,0.0,0.0,0.0,0.0,0.0
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,withdrawal,reflexive,5,,1.01913814970094,,0.38461538461538464,
7,F1,F,2,Post-treatment,30.00003000003,50479,0.0,1682.6316507,block4_Light touch,stimulus,4,4,Light touch,13,294.36637229999997,4.9061062049999995,0,0.0,flinch,reflexive,1,,0.203827629940188,,0.07692307692307693,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,escape,affective,1,2.2999977,0.20000020000020002,0.7666666666666668,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,withdrawal,reflexive,0,,0.0,,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,baseline,baseline,0,0,none,0,299.99969999999996,4.999994999999999,0,0.0,flinch,reflexive,0,,0.0,,,
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,attending,affective,2,0.8999990999999999,0.333333666667,0.25,0.16666666666666666,0.074999925
8,F2,F,2,Post-treatment,30.00003000003,50621,0.0,1687.3649793,block1_Pin prick,stimulus,1,1,Pin prick,12,359.99964,5.999994,0,0.0,lickbite,affective,1,1.1999988,0.1666668333335,0.3333333333333333,0.08333333333333333,0.09999989999999999
