session,day,mouse,sex,phase,period,kind,pos,stim_code,stimulus,n_del,dur_min,truncated,uncertain_pct,attending_dur_pct_time,escape_dur_pct_time,guarding_dur_pct_time,lickbite_dur_pct_time,attending_n_per_delivery,escape_n_per_delivery,flinch_n_per_delivery,guarding_n_per_delivery,lickbite_n_per_delivery,withdrawal_n_per_delivery,attending_rate_per_min,escape_rate_per_min,flinch_rate_per_min,guarding_rate_per_min,lickbite_rate_per_min,withdrawal_rate_per_min
10,2,M1,M,Post-treatment,baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,3.3444444444444446,0.0,0.0,,,,,,,0.0,1.2000012000012001,0.0,0.0,0.0,0.0
10,2,M1,M,Post-treatment,block1_Light touch,stimulus,1,1,Light touch,12,5.999994,0,0.0,0.25,0.2037037037037037,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.1666668333335,0.1666668333335,0.0,0.0,0.0,0.333333666667
10,2,M1,M,Post-treatment,block2_Pin prick,stimulus,2,2,Pin prick,16,5.85777192,0,0.0,2.314112291350531,0.5311077389984825,0.0,0.0,0.25,0.125,0.5625,0.0,0.0,0.875,0.6828534901372534,0.3414267450686267,1.53642035280882,0.0,0.0,2.389987215480387
10,2,M1,M,Post-treatment,block3_Heat,stimulus,3,3,Heat,19,5.277772499999999,0,0.0,0.0,0.23157894736842105,0.09473684210526316,0.22105263157894742,0.0,0.05263157894736842,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.6842105263157895,0.0,0.18947387368440002,1.5157909894752002,0.18947387368440002,0.18947387368440002,2.4631603578972
10,2,M1,M,Post-treatment,block4_Mild touch,stimulus,4,4,Mild touch,17,5.069994929999999,0,0.0,0.0,0.5698005698005698,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.5294117647058824,0.0,0.19723885601597638,0.19723885601597638,0.0,0.0,1.7751497041437874
11,2,M2,M,Post-treatment,baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,3.888888888888889,0.0,0.0,,,,,,,0.0,1.4000014000014003,0.0,0.0,0.0,0.0
11,2,M2,M,Post-treatment,block1_Heat,stimulus,1,1,Heat,19,5.51666115,0,0.0,0.5740181268882175,1.6112789526686808,0.0,0.0,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.0,0.0,0.5263157894736842,0.36253812688858006,0.5438071903328701,1.0876143806657401,0.0,0.0,1.8126906344429004
11,2,M2,M,Post-treatment,block2_Pin prick,stimulus,2,2,Pin prick,17,5.79221643,0,0.0,2.0525609054287357,0.9015921734126222,0.2877421830040284,1.1797429503165162,0.4117647058823529,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.7058823529411765,1.2085183771352963,0.5179364473436985,0.5179364473436985,0.17264548244789948,0.5179364473436985,2.071745789374794
11,2,M2,M,Post-treatment,block3_Mild touch,stimulus,3,3,Mild touch,15,5.98999401,0,0.0,1.0294936004451865,0.8161751066592469,0.5101094416620293,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.6,0.33389015025075125,0.33389015025075125,0.33389015025075125,0.16694507512537562,0.0,1.5025056761283806
11,2,M2,M,Post-treatment,block4_Light touch,stimulus,4,4,Light touch,19,5.100550455,0,0.0,0.6861997603746869,3.4854591003158704,0.0,0.0,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.0,0.0,0.42105263157894735,0.3921145409000763,1.1763436227002289,0.7842290818001526,0.0,0.0,1.5684581636003052
12,2,M3,M,Post-treatment,baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,4.211111111111111,0.0,0.0,,,,,,,0.0,1.4000014000014003,0.0,0.0,0.0,0.0
12,2,M3,M,Post-treatment,block1_Light touch,stimulus,1,1,Light touch,17,5.999994,0,0.0,1.046296296296296,1.8240740740740742,0.0,0.0,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.0,0.0,0.6470588235294118,0.5000005000005,0.666667333334,0.8333341666675,0.0,0.0,1.8333351666685
12,2,M3,M,Post-treatment,block2_Mild touch,stimulus,2,2,Mild touch,17,5.999994,0,0.0,0.4351851851851852,0.31481481481481477,0.0,0.0,0.17647058823529413,0.11764705882352941,0.47058823529411764,0.0,0.0,0.7647058823529411,0.5000005000005,0.333333666667,1.333334666668,0.0,0.0,2.1666688333355
