Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,pin,9124,304.0997
,2,1,pin,9255,308.4664
,3,1,pin,9343,311.3997
,4,1,pin,9424,314.0997
,5,1,pin,11031,367.6663
,6,1,pin,11064,368.7663
,7,1,pin,13074,435.7662
,8,1,pin,13154,438.4329
,9,1,pin,13200,439.9662
,10,1,pin,16101,536.6661
,11,1,pin,16162,538.6995
,12,1,pin,16219,540.5995
,13,1,pin,16253,541.7328
,14,1,pin,16327,544.1995
,15,1,pin,16497,549.8661
,16,1,pin,16534,551.0994
,17,1,pin,16702,556.6994
,18,2,heat,20500,683.2993
,19,2,heat,20570,685.6326
,20,2,heat,20661,688.6660
,21,2,heat,23708,790.2325
,22,2,heat,23767,792.1992
,23,2,heat,23810,793.6325
,24,2,heat,23829,794.2659
,25,2,heat,24351,811.6659
,26,2,heat,24412,813.6992
,27,2,heat,24471,815.6659
,28,2,heat,26756,891.8324
,29,2,heat,26795,893.1324
,30,2,heat,26842,894.6991
,31,2,heat,27281,909.3324
,32,2,heat,27305,910.1324
,33,3,mild,31086,1036.1656
,34,3,mild,32664,1088.7656
,35,3,mild,32715,1090.4656
,36,3,mild,32766,1092.1656
,37,3,mild,32826,1094.1656
,38,3,mild,32835,1094.4656
,39,2,heat,35986,1199.4988
,40,2,heat,36050,1201.6321
,41,2,heat,36059,1201.9321
,42,2,heat,37418,1247.2321
,43,3,mild,38234,1274.4321
,44,3,mild,38287,1276.1987
,45,3,mild,38316,1277.1654
,46,4,light,41649,1388.2653
,47,4,light,41678,1389.2319
,48,4,light,41740,1391.2986
,49,4,light,43897,1463.1985
,50,4,light,43952,1465.0319
,51,4,light,44016,1467.1652
,52,4,light,44091,1469.6652
,53,4,light,46485,1549.4651
,54,4,light,46529,1550.9318
,55,4,light,47962,1598.6984
,56,4,light,48042,1601.3651
,57,4,light,48087,1602.8651
,58,4,light,48156,1605.1651
