Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,Light touch,9262,308.6997
,2,1,Light touch,9348,311.5664
,3,1,Light touch,9408,313.5664
,4,1,Light touch,9414,313.7664
,5,1,Light touch,11217,373.8663
,6,1,Light touch,11231,374.3330
,7,1,Light touch,11331,377.6663
,8,1,Light touch,11357,378.5330
,9,1,Light touch,11414,380.4330
,10,1,Light touch,13737,457.8662
,11,1,Light touch,13763,458.7329
,12,1,Light touch,13776,459.1662
,13,1,Light touch,16580,552.6328
,14,1,Light touch,16615,553.7994
,15,1,Light touch,16656,555.1661
,16,1,Light touch,16750,558.2994
,17,1,Light touch,16832,561.0328
,18,1,Light touch,20149,671.5993
,19,1,Light touch,20174,672.4327
,20,1,Light touch,20226,674.1660
,21,1,Light touch,20363,678.7327
,22,2,Mild touch,22742,758.0326
,23,2,Mild touch,22801,759.9992
,24,2,Mild touch,22842,761.3659
,25,2,Mild touch,23571,785.6659
,26,2,Mild touch,23585,786.1325
,27,2,Mild touch,23785,792.7992
,28,2,Mild touch,25494,849.7658
,29,2,Mild touch,25517,850.5325
,30,2,Mild touch,25543,851.3991
,31,2,Mild touch,25566,852.1658
,32,2,Mild touch,25605,853.4658
,33,2,Mild touch,27270,908.9658
,34,2,Mild touch,27346,911.4991
,35,2,Mild touch,27368,912.2324
,36,3,pin,31878,1062.5656
,37,3,pin,31948,1064.8989
,38,3,pin,31986,1066.1656
,39,3,pin,32045,1068.1323
,40,3,pin,32809,1093.5989
,41,3,pin,32870,1095.6322
,42,3,pin,32931,1097.6656
,43,3,pin,35080,1169.2988
,44,3,pin,35129,1170.9322
,45,3,pin,35183,1172.7322
,46,3,pin,35224,1174.0988
,47,3,pin,37208,1240.2321
,48,3,pin,37278,1242.5654
,49,3,pin,37323,1244.0654
,50,3,pin,37366,1245.4988
,51,3,pin,38632,1287.6987
,52,3,pin,38688,1289.5654
,53,3,pin,38751,1291.6654
,54,3,pin,38806,1293.4987
,55,4,heat,42607,1420.1986
,56,4,heat,42651,1421.6652
,57,4,heat,42722,1424.0319
,58,4,heat,43998,1466.5652
,59,4,heat,44077,1469.1985
,60,4,heat,44106,1470.1652
,61,4,heat,45261,1508.6652
,62,4,heat,45284,1509.4318
,63,4,heat,47486,1582.8318
,64,4,heat,47519,1583.9317
,65,4,heat,47587,1586.1984
,66,4,heat,49131,1637.6650
,67,4,heat,49189,1639.5984
,68,4,heat,49210,1640.2984
