Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,heat ,10515,350.4663
,2,1,heat ,10588,352.8996
,3,1,heat ,10653,355.0663
,4,1,heat ,10663,355.3996
,5,1,heat ,11041,367.9996
,6,1,heat ,11073,369.0663
,7,1,heat ,11113,370.3996
,8,1,heat ,11119,370.5996
,9,1,heat ,11171,372.3330
,10,1,heat ,11181,372.6663
,11,1,heat ,13067,435.5329
,12,1,heat ,13119,437.2662
,13,1,heat ,13125,437.4662
,14,1,heat ,16153,538.3995
,15,1,heat ,16193,539.7328
,16,1,heat ,16283,542.7328
,17,1,heat ,16642,554.6994
,18,1,heat ,16673,555.7328
,19,1,heat ,16716,557.1661
,20,2,pin,20445,681.4660
,21,2,pin,20469,682.2660
,22,2,pin,20512,683.6993
,23,2,pin,21961,731.9993
,24,2,pin,22072,735.6993
,25,2,pin,22080,735.9659
,26,2,pin,23824,794.0992
,27,2,pin,23890,796.2992
,28,2,pin,23935,797.7992
,29,2,pin,23987,799.5325
,30,2,pin,26429,880.9325
,31,3,mild,26433,881.0658
,32,2,pin,26482,882.6991
,33,2,pin,26526,884.1658
,34,2,pin,28407,946.8657
,35,2,pin,28485,949.4657
,36,2,pin,28534,951.0990
,37,3,mild,30871,1028.9990
,38,3,mild,30935,1031.1323
,39,3,mild,30995,1033.1323
,40,3,mild,31067,1035.5323
,41,3,mild,33429,1114.2656
,42,3,mild,33513,1117.0655
,43,3,mild,33551,1118.3322
,44,3,mild,35746,1191.4988
,45,3,mild,35760,1191.9655
,46,3,mild,35783,1192.7321
,47,4,light,38527,1284.1987
,48,4,light,38571,1285.6654
,49,4,light,38603,1286.7320
,50,4,light,38634,1287.7654
,51,4,light,38689,1289.5987
,52,4,light,41653,1388.3986
,53,4,light,41687,1389.5319
,54,4,light,41744,1391.4319
,55,4,light,41819,1393.9319
,56,4,light,43597,1453.1985
,57,4,light,43642,1454.6985
,58,4,light,43727,1457.5319
,59,4,light,43734,1457.7652
,60,4,light,45341,1511.3318
,61,4,light,45353,1511.7318
,62,4,light,45386,1512.8318
,63,4,light,45405,1513.4652
,64,4,light,46955,1565.1318
,65,4,light,46968,1565.5651
,66,4,light,47009,1566.9318
,67,4,light,48766,1625.4984
,68,4,light,48794,1626.4317
,69,4,light,48918,1630.5650
,70,4,light,49015,1633.7984
