file,mouse,kind,detail,before,after
female1bottom000726_09_0311_32_06_001,F1,stimulus name spelling only,slot 1,pin,Pin prick
female1bottom000726_09_0311_32_06_001,F1,stimulus name spelling only,slot 2,heat,Heat
female1bottom000726_09_0311_32_06_001,F1,stimulus name spelling only,slot 3,mild,Mild touch
female1bottom000726_09_0311_32_06_001,F1,stimulus name spelling only,slot 4,light,Light touch
female1bottom000726_09_0311_32_06_001,F1,stimulus mis-key (clock window),t=1199.5s is in block 3 (1020-1320s),Heat,Mild touch
female1bottom000726_09_0311_32_06_001,F1,stimulus mis-key (clock window),t=1201.6s is in block 3 (1020-1320s),Heat,Mild touch
female1bottom000726_09_0311_32_06_001,F1,stimulus mis-key (clock window),t=1201.9s is in block 3 (1020-1320s),Heat,Mild touch
female1bottom000726_09_0311_32_06_001,F1,stimulus mis-key (clock window),t=1247.2s is in block 3 (1020-1320s),Heat,Mild touch
female1bottom000726_09_0311_32_06_001,F1,fast clicks merged,lickbite: 1 gap(s) <= 0.35s filled,14,13
female1bottom000726_09_0311_32_06_001,F1,fast clicks merged,guarding: 4 gap(s) <= 0.35s filled,19,15
female1bottom000726_09_0311_32_06_001,F1,nominal duration applied,"guarding: 9 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",15.13s total,19.93s total
female1bottom000726_09_0311_32_06_001,F1,metadata filled,sessionNo,(empty),7
female1bottom000726_09_0311_32_06_001,F1,metadata filled,mouseID,(empty),F1
female1bottom000726_09_0311_32_06_001,F1,metadata filled,sexID,(empty),F
female1bottom000726_09_0311_32_06_001,F1,metadata filled,phase,Baseline,Post-treatment
female1bottom000726_09_0311_32_06_001,F1,metadata filled,treatment,(empty),SBI-553
female1bottom000726_09_0311_32_06_001,F1,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
female2bottom000826_09_0312_01_40,F2,stimulus name spelling only,slot 1,pin,Pin prick
female2bottom000826_09_0312_01_40,F2,stimulus name spelling only,slot 2,heat,Heat
female2bottom000826_09_0312_01_40,F2,stimulus name spelling only,slot 3,light,Light touch
female2bottom000826_09_0312_01_40,F2,stimulus name spelling only,slot 4,mild,Mild touch
female2bottom000826_09_0312_01_40,F2,stimulus mis-key (clock window),t=477.0s is in block 1 (300-600s),Heat,Pin prick
female2bottom000826_09_0312_01_40,F2,stimulus mis-key (clock window),t=1393.2s is in block 4 (1380-1687s),Light touch,Mild touch
female2bottom000826_09_0312_01_40,F2,stimulus mis-key (clock window),t=1395.0s is in block 4 (1380-1687s),Light touch,Mild touch
female2bottom000826_09_0312_01_40,F2,stimulus mis-key (clock window),t=1397.2s is in block 4 (1380-1687s),Light touch,Mild touch
female2bottom000826_09_0312_01_40,F2,fast clicks merged,guarding: 3 gap(s) <= 0.35s filled,12,9
female2bottom000826_09_0312_01_40,F2,nominal duration applied,"guarding: 7 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",6.13s total,10.27s total
female2bottom000826_09_0312_01_40,F2,fast clicks merged,escape: 1 gap(s) <= 0.35s filled,3,2
female2bottom000826_09_0312_01_40,F2,metadata filled,sessionNo,(empty),8
female2bottom000826_09_0312_01_40,F2,metadata filled,mouseID,(empty),F2
female2bottom000826_09_0312_01_40,F2,metadata filled,sexID,(empty),F
female2bottom000826_09_0312_01_40,F2,metadata filled,phase,Baseline,Post-treatment
female2bottom000826_09_0312_01_40,F2,metadata filled,treatment,(empty),SBI-553
female2bottom000826_09_0312_01_40,F2,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
female3bottom000926_09_0312_31_11,F3,stimulus name spelling only,slot 3,pin,Pin prick
female3bottom000926_09_0312_31_11,F3,stimulus name spelling only,slot 4,heat,Heat
female3bottom000926_09_0312_31_11,F3,stimulus mis-key (clock window),t=671.6s is in block 2 (660-960s),Light touch,Mild touch
female3bottom000926_09_0312_31_11,F3,stimulus mis-key (clock window),t=672.4s is in block 2 (660-960s),Light touch,Mild touch
female3bottom000926_09_0312_31_11,F3,stimulus mis-key (clock window),t=674.2s is in block 2 (660-960s),Light touch,Mild touch
female3bottom000926_09_0312_31_11,F3,stimulus mis-key (clock window),t=678.7s is in block 2 (660-960s),Light touch,Mild touch
female3bottom000926_09_0312_31_11,F3,fast clicks merged,attending: 1 gap(s) <= 0.35s filled,8,7
female3bottom000926_09_0312_31_11,F3,fast clicks merged,guarding: 1 gap(s) <= 0.35s filled,7,6
female3bottom000926_09_0312_31_11,F3,nominal duration applied,"guarding: 5 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",2.87s total,5.33s total
female3bottom000926_09_0312_31_11,F3,fast clicks merged,escape: 1 gap(s) <= 0.35s filled,10,9
female3bottom000926_09_0312_31_11,F3,metadata filled,sessionNo,(empty),9
female3bottom000926_09_0312_31_11,F3,metadata filled,mouseID,(empty),F3
female3bottom000926_09_0312_31_11,F3,metadata filled,sexID,(empty),F
female3bottom000926_09_0312_31_11,F3,metadata filled,phase,Baseline,Post-treatment
female3bottom000926_09_0312_31_11,F3,metadata filled,treatment,(empty),SBI-553
female3bottom000926_09_0312_31_11,F3,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male1bottom001226_09_0314_00_32,M1,stimulus name spelling only,slot 2,pin,Pin prick
male1bottom001226_09_0314_00_32,M1,stimulus name spelling only,slot 4,mild,Mild touch
male1bottom001226_09_0314_00_32,M1,fast clicks merged,attending: 1 gap(s) <= 0.35s filled,6,5
male1bottom001226_09_0314_00_32,M1,nominal duration applied,"guarding: 1 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",0.30s total,0.30s total
male1bottom001226_09_0314_00_32,M1,metadata filled,sessionNo,(empty),10
male1bottom001226_09_0314_00_32,M1,metadata filled,mouseID,(empty),M1
male1bottom001226_09_0314_00_32,M1,metadata filled,sexID,(empty),M
male1bottom001226_09_0314_00_32,M1,metadata filled,phase,Baseline,Post-treatment
male1bottom001226_09_0314_00_32,M1,metadata filled,treatment,(empty),SBI-553
male1bottom001226_09_0314_00_32,M1,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
male2bottom001126_09_0313_30_46,M2,stimulus name spelling only,slot 1,heat,Heat
male2bottom001126_09_0313_30_46,M2,stimulus name spelling only,slot 2,pin,Pin prick
male2bottom001126_09_0313_30_46,M2,stimulus name spelling only,slot 3,mild,Mild touch
male2bottom001126_09_0313_30_46,M2,stimulus name spelling only,slot 4,light,Light touch
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=881.1s is in block 2 (660-960s),Mild touch,Pin prick
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=1284.2s is in block 3 (1020-1320s),Light touch,Mild touch
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=1285.7s is in block 3 (1020-1320s),Light touch,Mild touch
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=1286.7s is in block 3 (1020-1320s),Light touch,Mild touch
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=1287.8s is in block 3 (1020-1320s),Light touch,Mild touch
male2bottom001126_09_0313_30_46,M2,stimulus mis-key (clock window),t=1289.6s is in block 3 (1020-1320s),Light touch,Mild touch
male2bottom001126_09_0313_30_46,M2,fast clicks merged,guarding: 1 gap(s) <= 0.35s filled,4,3
male2bottom001126_09_0313_30_46,M2,nominal duration applied,"guarding: 3 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",1.27s total,2.83s total
male2bottom001126_09_0313_30_46,M2,fast clicks merged,escape: 1 gap(s) <= 0.35s filled,22,21
male2bottom001126_09_0313_30_46,M2,metadata filled,sessionNo,(empty),11
male2bottom001126_09_0313_30_46,M2,metadata filled,mouseID,(empty),M2
male2bottom001126_09_0313_30_46,M2,metadata filled,sexID,(empty),M
male2bottom001126_09_0313_30_46,M2,metadata filled,phase,Baseline,Post-treatment
