Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,Light touch,9657,321.8663
,2,1,Light touch,9683,322.7330
,3,1,Light touch,9708,323.5663
,4,1,Light touch,11506,383.4996
,5,1,Light touch,11531,384.3329
,6,1,Light touch,11573,385.7329
,7,1,Light touch,13750,458.2995
,8,1,Light touch,13802,460.0329
,9,1,Light touch,13832,461.0329
,10,1,Light touch,17471,582.3328
,11,1,Light touch,17503,583.3994
,12,1,Light touch,17545,584.7994
,13,2,pin,21730,724.2993
,14,2,pin,21805,726.7993
,15,2,pin,21884,729.4326
,16,2,pin,22414,747.0993
,17,2,pin,22429,747.5993
,18,2,pin,22438,747.8993
,19,2,pin,22564,752.0992
,20,2,pin,23951,798.3325
,21,2,pin,24004,800.0992
,22,2,pin,24075,802.4659
,23,2,pin,24152,805.0325
,24,2,pin,26024,867.4325
,25,2,pin,26065,868.7991
,26,2,pin,26126,870.8325
,27,2,pin,28502,950.0324
,28,2,pin,28544,951.4324
,29,3,Heat,32274,1075.7656
,30,3,Heat,32301,1076.6656
,31,3,Heat,32332,1077.6989
,32,3,Heat,32584,1086.0989
,33,3,Heat,32635,1087.7989
,34,3,Heat,32693,1089.7322
,35,3,Heat,32908,1096.8989
,36,3,Heat,34590,1152.9655
,37,3,Heat,34649,1154.9322
,38,3,Heat,34677,1155.8655
,39,3,Heat,34700,1156.6322
,40,3,Heat,36010,1200.2988
,41,3,Heat,36036,1201.1655
,42,3,Heat,36075,1202.4655
,43,3,Heat,37002,1233.3654
,44,3,Heat,37119,1237.2654
,45,3,Heat,37145,1238.1321
,46,3,Heat,38876,1295.8320
,47,3,Heat,38906,1296.8320
,48,4,mild,41774,1392.4319
,49,4,mild,41797,1393.1986
,50,4,mild,41820,1393.9653
,51,4,mild,43315,1443.7986
,52,4,mild,43458,1448.5652
,53,4,mild,43469,1448.9319
,54,4,mild,45297,1509.8652
,55,4,mild,45341,1511.3318
,56,4,mild,45407,1513.5318
,57,4,mild,46978,1565.8984
,58,4,mild,47041,1567.9984
,59,4,mild,47113,1570.3984
,60,4,mild,49152,1638.3650
,61,4,mild,49206,1640.1650
,62,4,mild,49249,1641.5984
,63,4,mild,49267,1642.1984
,64,4,mild,49310,1643.6317
