Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,1,1,pin,1,4.37,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,2,1,pin,2,2.93,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,3,1,pin,3,2.70,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,4,1,pin,4,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,5,1,pin,5,1.10,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,6,1,pin,6,30.00,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,7,1,pin,7,2.67,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,8,1,pin,8,1.53,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,9,1,pin,9,30.00,1,0,0,0.00,1,0.23,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,10,1,pin,10,2.03,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,11,1,pin,11,1.90,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,12,1,pin,12,1.13,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,13,1,pin,13,2.47,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,14,1,pin,14,5.67,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,15,1,pin,15,1.23,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,16,1,pin,16,5.60,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,17,1,pin,17,30.00,0,0,0,0.00,0,0.00,0,0.00,2,3.80,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,18,2,heat,1,2.33,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,19,2,heat,2,3.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,20,2,heat,3,30.00,0,0,0,0.00,0,0.00,0,0.00,2,3.63,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,21,2,heat,4,1.97,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,22,2,heat,5,1.43,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,23,2,heat,6,0.63,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,24,2,heat,7,17.40,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female1bottom000726_09_0311_32_06_001.avi,dual view; guard min 2.0s
