Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,1,1,pin,1,1.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,2,1,pin,2,3.53,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,3,1,pin,3,30.00,1,0,1,0.40,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,4,1,pin,4,0.83,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,5,1,pin,5,1.33,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,6,1,pin,6,1.37,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,7,1,pin,7,2.93,1,1,1,0.50,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,8,1,pin,8,1.93,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,9,1,pin,9,6.40,1,5,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,10,2,heat,1,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,11,1,pin,10,0.83,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,12,1,pin,11,30.00,1,0,0,0.00,1,1.20,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,13,2,heat,2,1.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,14,2,heat,3,1.37,1,0,1,0.17,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,15,2,heat,4,0.80,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,16,2,heat,5,30.00,0,1,1,2.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,17,2,heat,6,0.83,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,18,2,heat,7,30.00,1,1,1,0.33,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,19,2,heat,8,3.67,1,1,0,0.00,1,0.43,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,20,2,heat,9,30.00,1,0,1,0.27,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,21,2,heat,10,2.13,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,22,2,heat,11,2.53,1,1,0,0.00,2,0.60,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,23,2,heat,12,30.00,1,3,0,0.00,1,0.27,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,24,2,heat,13,1.17,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,25,2,heat,14,30.00,1,1,0,0.00,0,0.00,0,0.00,2,0.77,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,26,3,light,1,1.67,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,27,3,light,2,1.97,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,28,3,light,3,1.77,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,29,3,light,4,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,30,3,light,5,2.50,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,31,3,light,6,1.10,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,32,3,light,7,1.57,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,33,3,light,8,1.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,34,3,light,9,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,35,3,light,10,1.83,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,36,3,light,11,0.50,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,37,3,light,12,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,38,3,light,13,1.50,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,39,3,light,14,1.73,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,40,3,light,15,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,41,3,light,16,0.77,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,42,3,light,17,2.77,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,43,3,light,18,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,44,3,light,19,1.87,0,0,0,0.00,1,0.20,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,45,3,light,20,2.17,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,46,3,light,21,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,47,4,mild,1,1.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,48,4,mild,2,0.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,49,4,mild,3,1.53,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,50,4,mild,4,2.40,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,51,4,mild,5,30.00,1,0,1,1.87,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,52,4,mild,6,2.73,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,53,4,mild,7,30.00,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,54,4,mild,8,3.23,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female2bottom000826_09_0312_01_40.avi,dual view; guard min 2.0s
