Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,1,1,Light touch,1,2.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,2,1,Light touch,2,2.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,3,1,Light touch,3,0.20,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,4,1,Light touch,4,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,5,1,Light touch,5,0.47,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,6,1,Light touch,6,3.33,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,7,1,Light touch,7,0.87,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,8,1,Light touch,8,1.90,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,9,1,Light touch,9,30.00,0,0,0,0.00,0,0.00,0,0.00,1,1.60,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,10,1,Light touch,10,0.87,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,11,1,Light touch,11,0.43,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,12,1,Light touch,12,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,13,1,Light touch,13,1.17,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,14,1,Light touch,14,1.37,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,15,1,Light touch,15,3.13,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,16,1,Light touch,16,2.73,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,17,1,Light touch,17,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,18,1,Light touch,18,0.83,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,19,1,Light touch,19,1.73,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,20,1,Light touch,20,4.57,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,21,1,Light touch,21,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,22,2,Mild touch,1,1.97,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,23,2,Mild touch,2,1.37,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,24,2,Mild touch,3,24.30,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,25,2,Mild touch,4,0.47,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,26,2,Mild touch,5,6.67,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,27,2,Mild touch,6,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,28,2,Mild touch,7,0.77,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,29,2,Mild touch,8,0.87,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,30,2,Mild touch,9,0.77,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,31,2,Mild touch,10,1.30,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,32,2,Mild touch,11,30.00,1,2,0,0.00,0,0.00,0,0.00,1,1.80,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,33,2,Mild touch,12,2.53,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,34,2,Mild touch,13,0.73,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,35,2,Mild touch,14,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,36,3,pin,1,2.33,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,37,3,pin,2,1.27,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,38,3,pin,3,1.97,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,39,3,pin,4,25.47,1,2,0,0.00,0,0.00,0,0.00,1,0.17,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,40,3,pin,5,2.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,41,3,pin,6,2.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,42,3,pin,7,30.00,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,43,3,pin,8,1.63,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,44,3,pin,9,1.80,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,45,3,pin,10,1.37,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,46,3,pin,11,30.00,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,47,3,pin,12,2.33,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,48,3,pin,13,1.50,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,49,3,pin,14,1.43,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,female3bottom000926_09_0312_31_11.avi,dual view; guard min 2.0s
