Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,1,1,heat ,1,2.43,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,2,1,heat ,2,2.17,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,3,1,heat ,3,0.33,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,4,1,heat ,4,12.60,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,5,1,heat ,5,1.07,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,6,1,heat ,6,1.33,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,7,1,heat ,7,0.20,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,8,1,heat ,8,1.73,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,9,1,heat ,9,0.33,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,10,1,heat ,10,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,11,1,heat ,11,1.73,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,12,1,heat ,12,0.20,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
