Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,1,1,Light touch,1,2.30,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,2,1,Light touch,2,2.93,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,3,1,Light touch,3,0.77,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,4,1,Light touch,4,30.00,1,1,1,1.80,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,5,1,Light touch,5,2.97,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,6,1,Light touch,6,0.57,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,7,1,Light touch,7,2.30,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,8,1,Light touch,8,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,9,1,Light touch,9,2.27,1,1,1,0.27,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,10,1,Light touch,10,3.70,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,11,1,Light touch,11,30.00,0,0,0,0.00,0,0.00,0,0.00,1,1.50,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
