frame,time_s,affective_code,affective_label,affective_code_ml,affective_label_ml,withdrawal,flinch,withdrawal_ml,flinch_ml,stim_index,stim_code,stimulus,sec_since_delivery,uncertain,exclude_from_training
1,0.0000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
2,0.0333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
3,0.0667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
4,0.1000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
5,0.1333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
6,0.1667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
7,0.2000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
8,0.2333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
9,0.2667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
10,0.3000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
11,0.3333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
12,0.3667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
13,0.4000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
14,0.4333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
15,0.4667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
16,0.5000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
17,0.5333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
18,0.5667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
19,0.6000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
20,0.6333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
21,0.6667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
22,0.7000,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
23,0.7333,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
24,0.7667,0,None,0,None,0,0,0,0,0,-1,pre-stimulus,NaN,0,0
