day,mouse,period,n_samples,motion_index,speed_px_s,frac_moving,area_px,elongation
Day 1 no drug,F1,baseline,1501,8.632003074876756,12.475887613385627,0.5116588940706196,50881.0,1.7254901960784315
Day 1 no drug,F1,block1,1500,7.106182140893202,5.83434201933916,0.30733333333333335,47617.0,1.5833333333333333
Day 1 no drug,F1,block2,1500,8.193182840200006,7.897847162636587,0.39266666666666666,49414.5,1.6127450980392157
Day 1 no drug,F1,block3,1500,6.521123717012825,4.631239654245885,0.25333333333333335,47973.0,1.5853658536585367
Day 1 no drug,F1,block4,1500,8.051818269846681,13.032071019272315,0.5386666666666666,57870.0,1.8235294117647058
Day 1 no drug,F2,baseline,1501,7.388199957403834,43.36720405045087,0.7634910059960026,21095.0,2.139130434782609
Day 1 no drug,F2,block1,1500,7.287869178458521,38.907628850856184,0.7413333333333333,21684.0,2.197345132743363
Day 1 no drug,F2,block2,1500,6.746195770361614,40.686428912880984,0.6966666666666667,22729.0,1.9221778100775193
Day 1 no drug,F2,block3,1500,5.520024657946512,46.24909468341258,0.6946666666666667,21937.0,1.856052344601963
Day 1 no drug,F2,block4,1500,5.837205530223386,36.27651782841049,0.6826666666666666,23149.5,2.7565789473684212
Day 1 no drug,F3,baseline,1501,11.769712477546104,34.12710554174975,0.748834110592938,24647.0,3.3282442748091605
Day 1 no drug,F3,block1,1500,13.11012771521766,48.39427000438076,0.8073333333333333,24471.0,2.9808419768151313
Day 1 no drug,F3,block2,1500,8.767321882911919,26.009541080959856,0.7066666666666667,29613.0,2.468693284936479
Day 1 no drug,F3,block3,1500,9.447636288844167,31.815665580852844,0.684,31283.0,2.3151112316874665
Day 1 no drug,F3,block4,1500,7.83532302573867,18.168033013605562,0.604,30427.5,2.8463904012905825
Day 1 no drug,M1,baseline,1501,8.642678063636748,37.694129263415554,0.8034643570952699,26620.0,3.0541871921182264
Day 1 no drug,M1,block1,1500,5.504127339026334,20.40608750315845,0.6266666666666667,34998.0,3.0392156862745097
Day 1 no drug,M1,block2,1500,5.717621710756142,20.202805630180148,0.6293333333333333,65337.0,2.9523809523809526
Day 1 no drug,M1,block3,1500,4.920580664134542,12.3128465748677,0.5033333333333333,72152.5,2.450592885375494
Day 1 no drug,M1,block4,1500,4.299451360756162,10.253591580598929,0.45466666666666666,70937.5,2.5726141078838176
Day 1 no drug,M2,baseline,1501,9.117885356384202,33.47846843905765,0.7501665556295802,28862.0,2.1160409556313993
Day 1 no drug,M2,block1,1500,8.553286062087098,28.26694908629056,0.7046666666666667,30118.0,2.7074235807860263
Day 1 no drug,M2,block2,1500,7.678640946506495,22.765888364969094,0.6633333333333333,30071.5,2.5833333333333335
Day 1 no drug,M2,block3,1500,5.99887409558371,11.38755857766586,0.486,75076.0,2.4571090847686596
Day 1 no drug,M2,block4,1500,4.188483266293328,5.698292993622198,0.32466666666666666,76296.0,2.6050420168067228
Day 1 no drug,M3,baseline,1501,5.937021187027039,29.204590975609285,0.7481678880746169,31111.0,3.0632911392405062
Day 1 no drug,M3,block1,1500,5.9123251090095925,33.70295342715552,0.7366666666666667,27246.0,3.0565217391304347
Day 1 no drug,M3,block2,1500,5.917504615823811,28.989639762762067,0.72,28598.5,3.14752300679453
Day 1 no drug,M3,block3,1500,6.929897636191251,21.80601810115282,0.6206666666666667,30205.0,2.8473704713673547
Day 1 no drug,M3,block4,1500,5.855906100735259,18.60501745148183,0.5986666666666667,32034.5,2.8645767761970706
Day 2 drug,F1,baseline,1501,4.621459013978158,10.48610408449805,0.47301798800799466,35861.0,3.096774193548387
Day 2 drug,F1,block1,1500,4.448505102328894,11.440126419203786,0.49133333333333334,36176.5,3.1578947368421053
Day 2 drug,F1,block2,1500,4.5354316323351425,9.345442525941822,0.46266666666666667,40503.5,2.8402366863905324
Day 2 drug,F1,block3,1500,3.8334880460277008,5.94798358672994,0.36133333333333334,37179.0,2.981366459627329
Day 2 drug,F1,block4,1500,4.248565618324012,5.584372423419209,0.37333333333333335,37950.0,3.031055900621118
Day 2 drug,F2,baseline,1501,4.3402346404510235,28.828230722112202,0.5689540306462358,18367.0,3.2804232804232805
Day 2 drug,F2,block1,1500,3.6238202172407616,3.0471751922270984,0.394,18277.0,3.5022935779816513
Day 2 drug,F2,block2,1500,4.197214251074606,3.7365692679668125,0.37933333333333336,18303.0,2.3980582524271843
Day 2 drug,F2,block3,1500,3.213590327354472,20.33284088921565,0.5266666666666666,22602.5,3.1666666666666665
Day 2 drug,F2,block4,1500,3.4506319414628095,7.376284006199143,0.4726666666666667,21333.5,3.519697752518729
Day 2 drug,F3,baseline,1501,3.5974629550298904,6.367237624316097,0.4603597601598934,17458.0,2.521276595744681
Day 2 drug,F3,block1,1500,3.751436374411087,24.56407048888104,0.5666666666666667,33071.0,3.0955414012738856
Day 2 drug,F3,block2,1500,4.269701114232665,14.264838598843443,0.5193333333333333,30042.0,3.006172839506173
Day 2 drug,F3,block3,1500,4.31697636009165,23.823636787380735,0.5726666666666667,21515.0,2.979591836734694
Day 2 drug,F3,block4,1500,4.642750376440054,20.42789288493205,0.5673333333333334,23992.5,2.521297627606039
Day 2 drug,M1,baseline,1501,8.389385661143098,14.944037948975652,0.5536309127248501,25556.0,2.423076923076923
Day 2 drug,M1,block1,1500,7.877898173306997,7.823379128374981,0.43666666666666665,24527.0,2.6537479650732574
Day 2 drug,M1,block2,1500,6.883913138175015,6.393008457759807,0.4086666666666667,65745.0,2.8703703703703702
Day 2 drug,M1,block3,1500,6.983836710260271,4.290656902890502,0.33266666666666667,67016.0,2.719298245614035
Day 2 drug,M1,block4,1500,6.155209106253757,3.253422095484301,0.24333333333333335,20288.5,2.5588235294117645
Day 2 drug,M2,baseline,1501,4.731342321708643,16.782481287989995,0.5829447035309794,18538.0,2.1926605504587156
Day 2 drug,M2,block1,1500,4.432363190195262,14.245173545871367,0.526,19892.5,2.1371473354231973
Day 2 drug,M2,block2,1500,5.864798659431727,7.35569652171893,0.4053333333333333,21694.0,2.0277777777777777
Day 2 drug,M2,block3,1500,9.082486431207078,6.583234144305113,0.394,15935.5,1.7522529836810912
Day 2 drug,M2,block4,1500,9.149351233021896,7.9784207881328975,0.418,17336.0,1.8816228479914587
Day 2 drug,M3,baseline,1501,4.74223741357505,12.163414731878436,0.5016655562958028,23223.0,1.8928571428571428
Day 2 drug,M3,block1,1500,4.855091223328623,13.177845840701547,0.514,21646.0,2.024896694214876
Day 2 drug,M3,block2,1500,5.405037056044984,16.554824158172543,0.544,19271.0,2.6745826771653545
Day 2 drug,M3,block3,1500,5.1224551056055265,15.40995720509109,0.54,22374.0,1.8962962962962964
Day 2 drug,M3,block4,1500,3.7946617212422873,12.493782807357904,0.5033333333333333,24030.0,2.0038167938931295
