behaviour,stimulus,n_mice,per_del_5min,per_del_6min,pct_increase,extra_events_per_block,p_wilcoxon
withdrawal,ALL,6,1.132928398714354,1.1345309628169182,0.14145325550872476,0.041666666666666664,1.0
withdrawal,Light touch,6,0.7461503784649565,0.7461503784649565,0.0,0.0,
withdrawal,Mild touch,6,1.1377442002442002,1.1441544566544566,0.5634180696223737,0.16666666666666666,1.0
withdrawal,Heat,6,1.5382054238032499,1.5382054238032499,0.0,0.0,
withdrawal,Pin prick,6,1.1096135923450088,1.1096135923450088,0.0,0.0,
flinch,ALL,6,0.8303802673761945,0.8303802673761945,0.0,0.0,
flinch,Light touch,6,0.4518509907256711,0.4518509907256711,0.0,0.0,
flinch,Mild touch,6,0.5845334490071331,0.5845334490071331,0.0,0.0,
flinch,Heat,6,1.4174379666227492,1.4174379666227492,0.0,0.0,
flinch,Pin prick,6,0.8676986631492242,0.8676986631492242,0.0,0.0,
attending,ALL,6,0.3059249584681076,0.3078188978620469,0.6190862633186492,0.041666666666666664,1.0
attending,Light touch,6,0.18674785856371534,0.1943236161394729,4.0566770800067,0.16666666666666666,1.0
attending,Mild touch,6,0.24967868388921022,0.24967868388921022,0.0,0.0,
attending,Heat,6,0.42743467281510755,0.42743467281510755,0.0,0.0,
attending,Pin prick,6,0.359838618604397,0.359838618604397,0.0,0.0,
lickbite,ALL,6,0.3773550407149717,0.385688374048305,2.2083535223338213,0.125,1.0
lickbite,Light touch,6,0.14235927045389962,0.14235927045389962,0.0,0.0,
lickbite,Mild touch,6,0.17870075830602147,0.17870075830602147,0.0,0.0,
lickbite,Heat,6,0.936992204655248,0.9703255379885815,3.5574824601233397,0.5,1.0
lickbite,Pin prick,6,0.2513679294447177,0.2513679294447177,0.0,0.0,
guarding,ALL,6,0.23782275180742496,0.24051092385043574,1.1303258509040814,0.08333333333333333,1.0
guarding,Light touch,6,0.07895506028498356,0.07895506028498356,0.0,0.0,
guarding,Mild touch,6,0.15896632607158923,0.15896632607158923,0.0,0.0,
guarding,Heat,6,0.4684837505489679,0.4684837505489679,0.0,0.0,
guarding,Pin prick,6,0.2448858703241592,0.2556385584962022,4.390897750780599,0.3333333333333333,1.0
escape,ALL,6,0.7101466846971874,0.7457632330039532,5.015379086357764,0.7916666666666666,0.0625
escape,Light touch,6,0.38466820193162904,0.40919201145543854,6.375314985918271,0.6666666666666666,0.5
escape,Mild touch,6,0.5408561467771994,0.5536766595977122,2.3704108563628963,0.3333333333333333,0.5
escape,Heat,6,1.101298309178744,1.1594422485726834,5.279581282322883,1.1666666666666667,0.25
escape,Pin prick,6,0.8137640809011776,0.8607420123899786,5.772917801529995,1.0,0.25
