day,mouse,stimulus,behaviour,n_bouts,n_del,n_per_del,dur_min
Day1 no drug,F1,Mild touch,attending,0,26,0.0,4.999994999999999
Day1 no drug,F1,Mild touch,lickbite,0,26,0.0,4.999994999999999
Day1 no drug,F1,Mild touch,guarding,1,26,0.038461538461538464,4.999994999999999
Day1 no drug,F1,Mild touch,escape,6,26,0.23076923076923078,4.999994999999999
Day1 no drug,F1,Mild touch,withdrawal,40,26,1.5384615384615385,4.999994999999999
Day1 no drug,F1,Mild touch,flinch,28,26,1.0769230769230769,4.999994999999999
Day1 no drug,F1,Pin prick,attending,8,16,0.5,4.999994999999999
Day1 no drug,F1,Pin prick,lickbite,3,16,0.1875,4.999994999999999
Day1 no drug,F1,Pin prick,guarding,0,16,0.0,4.999994999999999
Day1 no drug,F1,Pin prick,escape,25,16,1.5625,4.999994999999999
Day1 no drug,F1,Pin prick,withdrawal,20,16,1.25,4.999994999999999
Day1 no drug,F1,Pin prick,flinch,13,16,0.8125,4.999994999999999
Day1 no drug,F1,Light touch,attending,0,22,0.0,4.999994999999999
Day1 no drug,F1,Light touch,lickbite,3,22,0.13636363636363635,4.999994999999999
Day1 no drug,F1,Light touch,guarding,0,22,0.0,4.999994999999999
Day1 no drug,F1,Light touch,escape,6,22,0.2727272727272727,4.999994999999999
Day1 no drug,F1,Light touch,withdrawal,13,22,0.5909090909090909,4.999994999999999
Day1 no drug,F1,Light touch,flinch,7,22,0.3181818181818182,4.999994999999999
Day1 no drug,F1,Heat,attending,2,23,0.08695652173913043,4.856106254999999
Day1 no drug,F1,Heat,lickbite,14,23,0.6086956521739131,4.856106254999999
Day1 no drug,F1,Heat,guarding,1,23,0.043478260869565216,4.856106254999999
Day1 no drug,F1,Heat,escape,25,23,1.0869565217391304,4.856106254999999
Day1 no drug,F1,Heat,withdrawal,36,23,1.565217391304348,4.856106254999999
Day1 no drug,F1,Heat,flinch,22,23,0.9565217391304348,4.856106254999999
Day1 no drug,F2,Heat,attending,6,20,0.3,4.999994999999999
Day1 no drug,F2,Heat,lickbite,26,20,1.3,4.999994999999999
Day1 no drug,F2,Heat,guarding,11,20,0.55,4.999994999999999
Day1 no drug,F2,Heat,escape,17,20,0.85,4.999994999999999
Day1 no drug,F2,Heat,withdrawal,26,20,1.3,4.999994999999999
Day1 no drug,F2,Heat,flinch,12,20,0.6,4.999994999999999
Day1 no drug,F2,Mild touch,attending,5,20,0.25,4.999994999999999
Day1 no drug,F2,Mild touch,lickbite,9,20,0.45,4.999994999999999
Day1 no drug,F2,Mild touch,guarding,1,20,0.05,4.999994999999999
Day1 no drug,F2,Mild touch,escape,19,20,0.95,4.999994999999999
Day1 no drug,F2,Mild touch,withdrawal,20,20,1.0,4.999994999999999
Day1 no drug,F2,Mild touch,flinch,1,20,0.05,4.999994999999999
