measure,behaviour,stimulus,n_pairs,day1_median,day2_median,delta_median,p_wilcoxon,p_ttest,p_floor,n1,n2,day1_mean,day2_mean,day1_sem,day2_sem,p_mannwhitney,p_welch,q_wilcoxon
n_per_del,attending,Heat,6,0.44791666666666663,0.20647773279352227,-0.17681159420289855,0.21875,0.14646978352479378,0.03125,6,6,0.42743467281510755,0.207714799820063,0.0919696387754462,0.08326531317588938,0.14811579591762544,0.10726848930017731,0.27631578947368424
n_per_del,attending,Light touch,6,0.15966386554621848,0.09429824561403508,-0.1384313725490196,0.3125,0.2556360046388393,0.03125,6,6,0.18674785856371534,0.09930605170543251,0.052745369545227974,0.03796969484752182,0.2581285449812176,0.21109440497561147,0.3409090909090909
n_per_del,attending,Mild touch,6,0.23026315789473684,0.03333333333333333,-0.20141700404858298,0.0625,0.014017943289295303,0.03125,6,6,0.24967868388921022,0.06433239962651727,0.06507725857972624,0.03222966044480652,0.03408693425979851,0.03662169098128261,0.10714285714285714
n_per_del,attending,Pin prick,6,0.4057971014492754,0.17708333333333331,-0.1649882779198636,0.0625,0.04206041127452293,0.03125,6,6,0.359838618604397,0.170547385620915,0.08107609563355121,0.06206065679006357,0.17273282913055155,0.09546647181557796,0.10714285714285714
n_per_del,lickbite,Heat,6,0.6043478260869566,0.06904761904761905,-0.4897644927536232,0.03125,0.04668333777933817,0.03125,6,6,0.936992204655248,0.14656191761454918,0.297171300046837,0.06409198258764413,0.0021645021645021645,0.04434557717921201,0.09375
n_per_del,lickbite,Light touch,6,0.1270053475935829,0.0,-0.08056265984654731,0.15625,0.12426988739914248,0.03125,6,6,0.14235927045389962,0.038461538461538464,0.039975146756659904,0.038461538461538464,0.024992062539502098,0.09061515037624401,0.21226415094339623
n_per_del,lickbite,Mild touch,6,0.13942307692307693,0.0,-0.13942307692307693,0.4375,0.5783276839952133,0.03125,6,6,0.17870075830602147,0.10164835164835163,0.06270554142231564,0.08813787397438395,0.15814709582676878,0.49424768806103964,0.45
n_per_del,lickbite,Pin prick,6,0.24407114624505927,0.058823529411764705,-0.1834093815391769,0.0625,0.017797427435399617,0.03125,6,6,0.2513679294447177,0.04391339869281046,0.06450477703552311,0.014376821810163256,0.04345280199222441,0.022603561345223126,0.10714285714285714
n_per_del,guarding,Heat,6,0.5416666666666667,0.22527472527472528,-0.2993835112256165,0.15625,0.09295928206199927,0.03125,6,6,0.4684837505489679,0.21084763190026345,0.09173385931467676,0.06973689597623081,0.06493506493506493,0.05118330715559113,0.21226415094339623
n_per_del,guarding,Light touch,6,0.06512605042016806,0.0,-0.05115089514066496,0.4375,0.9530831792533411,0.03125,6,6,0.07895506028498356,0.07390648567119155,0.0277183443044451,0.06287982982104325,0.2442362964321273,0.9435262765842238,0.45
n_per_del,guarding,Mild touch,6,0.19548872180451127,0.03333333333333333,-0.16215538847117794,0.21875,0.1822139897253603,0.03125,6,6,0.17979965940492257,0.059645909645909635,0.05243051622122701,0.03412436291457504,0.09041206470009694,0.08850314390090233,0.27631578947368424
n_per_del,guarding,Pin prick,6,0.21598877980364656,0.10835913312693499,-0.10324368176443088,0.21875,0.16977627264135717,0.03125,6,6,0.2448858703241592,0.10495141038871687,0.08415235772594704,0.03092808845782084,0.19860784944113763,0.1670545115556796,0.27631578947368424
n_per_del,escape,Heat,6,0.89375,0.17894736842105263,-0.7763410931174088,0.03125,0.025738933254581174,0.03125,6,6,1.101298309178744,0.18044791465844098,0.29796592160453766,0.04805981525175724,0.0021645021645021645,0.026593000665253285,0.09375
n_per_del,escape,Light touch,6,0.3320158102766798,0.07107843137254902,-0.19028520499108734,0.03125,0.051931452232999074,0.03125,6,6,0.38466820193162904,0.1057361541107671,0.0879885959787645,0.04972883353479725,0.03034794173956043,0.024983965587882344,0.09375
n_per_del,escape,Mild touch,6,0.4823717948717948,0.08496732026143791,-0.39413650075414774,0.03125,0.006495840171478748,0.03125,6,6,0.5547450356660882,0.0701525054466231,0.106377183594279,0.02442420297558435,0.004998124765082457,0.00533478939704339,0.09375
n_per_del,escape,Pin prick,6,0.75,0.11513157894736842,-0.6305147058823529,0.03125,0.01657493337290728,0.03125,6,6,0.8137640809011776,0.10761738906088752,0.21759065832286892,0.02793224234016976,0.004998124765082457,0.02243695183043945,0.09375
n_per_del,withdrawal,Heat,6,1.482608695652174,0.8666666666666667,-0.527480490523969,0.15625,0.13192941384113246,0.03125,6,6,1.5382054238032499,0.995527279737806,0.20836443308003447,0.20880911865185242,0.09307359307359307,0.09565015791043555,0.21226415094339623
n_per_del,withdrawal,Light touch,6,0.7445652173913043,0.40283400809716596,-0.34858138526196136,0.03125,0.0022470726547946726,0.03125,6,6,0.7461503784649565,0.40279652121757387,0.07343708557364295,0.0633259622228615,0.008658008658008658,0.005529381743324723,0.09375
n_per_del,withdrawal,Mild touch,6,1.0815018315018317,0.5692307692307692,-0.5707642031171443,0.03125,0.0012243346405156044,0.03125,6,6,1.2002442002442002,0.5866467954703248,0.10245902810023323,0.045041509012216124,0.004998124765082457,0.0009871620368407355,0.09375
n_per_del,withdrawal,Pin prick,6,1.0852272727272727,0.8848684210526316,-0.2414772727272727,0.09375,0.05897959242068733,0.03125,6,6,1.1096135923450088,0.8715492776057792,0.07083596325335771,0.04196405280406259,0.025974025974025976,0.019828048411632073,0.14361702127659576
n_per_del,flinch,Heat,6,1.0532608695652175,0.6720647773279352,-0.32945134575569357,0.5625,0.29718846423523215,0.03125,6,6,1.4174379666227492,0.7083992031360452,0.4700124841884772,0.21100545822528308,0.30952380952380953,0.21153274464653746,0.5625
n_per_del,flinch,Light touch,6,0.3739130434782609,0.038461538461538464,-0.2372960372960373,0.03125,0.04789678847036932,0.03125,6,6,0.4518509907256711,0.09692783996189569,0.11272405344101377,0.051760230150360395,0.007795826617354622,0.02422066597525333,0.09375
n_per_del,flinch,Mild touch,6,0.582995951417004,0.21825396825396826,-0.39496176338281597,0.15625,0.09294952218115049,0.03125,6,6,0.6262001156737999,0.27295242883478177,0.16168768831360023,0.07765629700702857,0.17965367965367965,0.08848273101562998,0.21226415094339623
n_per_del,flinch,Pin prick,6,0.7633928571428572,0.6979166666666667,-0.22469316674038037,0.5625,0.49100084498130403,0.03125,6,6,0.8676986631492242,0.6187005503955968,0.2231975700483813,0.1459064977574341,0.8181818181818182,0.3758534623236559,0.5625
n_bouts,attending,Heat,6,7.5,3.0,-3.5,0.09375,0.09868225837965516,0.03125,6,6,8.166666666666666,3.3333333333333335,1.9564707454438917,1.3080944580232392,0.10745320436896048,0.0711698208484646,0.14361702127659576
n_bouts,attending,Light touch,6,4.0,1.5,-3.5,0.09375,0.06773301776557182,0.03125,6,6,4.5,1.5,1.2583057392117916,0.5627314338711378,0.06085645004790175,0.06641478040367634,0.14361702127659576
n_bouts,attending,Mild touch,6,5.0,0.5,-4.5,0.0625,0.012297230662462027,0.03125,6,6,5.5,1.0,1.4776106839534335,0.5163977794943223,0.03376297755340365,0.02720854574038334,0.10714285714285714
n_bouts,attending,Pin prick,6,8.0,2.5,-5.5,0.03125,0.0027965870994290758,0.03125,6,6,7.833333333333333,2.6666666666666665,1.6210421887717106,1.021980647783726,0.04382636546609422,0.025984418510441896,0.09375
n_bouts,lickbite,Heat,6,13.0,1.0,-10.5,0.03125,0.023546032200926725,0.03125,6,6,17.0,2.5,4.351245032554859,1.2315302134607444,0.007795826617354622,0.01935976959128705,0.09375
n_bouts,lickbite,Light touch,6,2.5,0.0,-1.5,0.0625,0.07323564562480317,0.03125,6,6,3.6666666666666665,0.5,1.256096245427785,0.5,0.019630657257290667,0.05415412112716374,0.10714285714285714
n_bouts,lickbite,Mild touch,6,3.5,0.0,-3.5,0.3125,0.28272867985479005,0.03125,6,6,3.8333333333333335,1.3333333333333333,1.2494443209327541,1.1450376024878448,0.11471047821218691,0.17118028371041924,0.3409090909090909
n_bouts,lickbite,Pin prick,6,5.5,1.0,-4.5,0.0625,0.037124811241076874,0.03125,6,6,6.0,0.6666666666666666,1.949358868961793,0.210818510677892,0.0401242572653558,0.04077445469553178,0.10714285714285714
n_bouts,guarding,Heat,6,9.5,3.0,-6.5,0.09375,0.049768321138044636,0.03125,6,6,8.666666666666666,3.5,1.686548085423136,1.3354150416006754,0.06461008912954472,0.0384211926252983,0.14361702127659576
n_bouts,guarding,Light touch,6,1.5,0.0,-1.5,0.4375,0.4895897445644277,0.03125,6,6,2.0,1.0,0.7302967433402215,0.8164965809277261,0.17992880513060894,0.3830498726726962,0.45
n_bouts,guarding,Mild touch,6,4.0,0.5,-3.5,0.1875,0.09566719227183273,0.03125,6,6,4.166666666666667,0.8333333333333334,1.3017082793177759,0.47726070210921184,0.0401242572653558,0.050911215213334665,0.25
n_bouts,guarding,Pin prick,6,6.0,1.5,-4.5,0.15625,0.07626587605197513,0.03125,6,6,5.833333333333333,1.6666666666666667,1.8693433190413271,0.4944132324730442,0.12553027026341518,0.0770345710285996,0.21226415094339623
n_bouts,escape,Heat,6,16.0,3.0,-14.0,0.03125,0.010850564004948706,0.03125,6,6,20.0,3.1666666666666665,4.08248290463863,1.0461569884316813,0.00469769748933007,0.00808973429864439,0.09375
n_bouts,escape,Light touch,6,7.5,1.0,-5.0,0.03125,0.022939818491316093,0.03125,6,6,8.833333333333334,1.8333333333333333,1.815060452008264,0.9457507306074073,0.015567637571578,0.009959820840373907,0.09375
n_bouts,escape,Mild touch,6,12.0,1.5,-10.5,0.03125,0.002917244124071754,0.03125,6,6,12.166666666666666,1.1666666666666667,1.9902540318037576,0.40138648595974324,0.00469769748933007,0.0022768890794330116,0.09375
n_bouts,escape,Pin prick,6,17.0,2.0,-15.0,0.03125,0.005726232319974747,0.03125,6,6,16.833333333333332,1.8333333333333333,3.5629263877386586,0.47726070210921184,0.00492203567532315,0.008076423987474008,0.09375
n_bouts,withdrawal,Heat,6,28.5,13.5,-15.5,0.15625,0.09926084841121052,0.03125,6,6,28.666666666666668,17.166666666666668,2.6791375063213496,4.812599205326693,0.06508095865779158,0.07101631362538502,0.21226415094339623
n_bouts,withdrawal,Light touch,6,16.5,7.0,-9.5,0.03125,0.002487238170979512,0.03125,6,6,17.833333333333332,6.666666666666667,1.9902540318037572,1.256096245427785,0.004998124765082457,0.0012566956489866651,0.09375
n_bouts,withdrawal,Mild touch,6,25.5,9.0,-16.5,0.03125,0.0033842416685291045,0.03125,6,6,27.666666666666668,9.166666666666666,3.602468289628346,0.8333333333333333,0.004771821713797115,0.0030802290413506008,0.09375
n_bouts,withdrawal,Pin prick,6,25.0,13.5,-11.5,0.03125,0.016596138419502138,0.03125,6,6,25.166666666666668,14.0,2.3582008207765326,0.8563488385776754,0.004998124765082457,0.0038471299594700684,0.09375
