day,mouse,sex,stimulus,behaviour,n_deliveries,n_events,per_delivery
Day 1 no drug,F1,F,Mild touch,withdrawal,26,40,1.5384615384615385
Day 1 no drug,F1,F,Mild touch,flinch,26,28,1.0769230769230769
Day 1 no drug,F1,F,Mild touch,attending,26,0,0.0
Day 1 no drug,F1,F,Mild touch,lickbite,26,0,0.0
Day 1 no drug,F1,F,Mild touch,guarding,26,1,0.038461538461538464
Day 1 no drug,F1,F,Mild touch,escape,26,6,0.23076923076923078
Day 1 no drug,F1,F,Pin prick,withdrawal,16,20,1.25
Day 1 no drug,F1,F,Pin prick,flinch,16,13,0.8125
Day 1 no drug,F1,F,Pin prick,attending,16,8,0.5
Day 1 no drug,F1,F,Pin prick,lickbite,16,3,0.1875
Day 1 no drug,F1,F,Pin prick,guarding,16,0,0.0
Day 1 no drug,F1,F,Pin prick,escape,16,25,1.5625
Day 1 no drug,F1,F,Light touch,withdrawal,22,13,0.5909090909090909
Day 1 no drug,F1,F,Light touch,flinch,22,7,0.3181818181818182
Day 1 no drug,F1,F,Light touch,attending,22,0,0.0
Day 1 no drug,F1,F,Light touch,lickbite,22,2,0.09090909090909091
Day 1 no drug,F1,F,Light touch,guarding,22,0,0.0
Day 1 no drug,F1,F,Light touch,escape,22,6,0.2727272727272727
Day 1 no drug,F1,F,Heat,withdrawal,23,36,1.565217391304348
Day 1 no drug,F1,F,Heat,flinch,23,22,0.9565217391304348
Day 1 no drug,F1,F,Heat,attending,23,2,0.08695652173913043
Day 1 no drug,F1,F,Heat,lickbite,23,14,0.6086956521739131
Day 1 no drug,F1,F,Heat,guarding,23,1,0.043478260869565216
Day 1 no drug,F1,F,Heat,escape,23,24,1.0434782608695652
Day 1 no drug,F2,F,Heat,withdrawal,20,25,1.25
Day 1 no drug,F2,F,Heat,flinch,20,12,0.6
Day 1 no drug,F2,F,Heat,attending,20,6,0.3
Day 1 no drug,F2,F,Heat,lickbite,20,26,1.3
Day 1 no drug,F2,F,Heat,guarding,20,11,0.55
Day 1 no drug,F2,F,Heat,escape,20,17,0.85
Day 1 no drug,F2,F,Mild touch,withdrawal,20,20,1.0
Day 1 no drug,F2,F,Mild touch,flinch,20,1,0.05
Day 1 no drug,F2,F,Mild touch,attending,20,5,0.25
Day 1 no drug,F2,F,Mild touch,lickbite,20,9,0.45
Day 1 no drug,F2,F,Mild touch,guarding,20,1,0.05
Day 1 no drug,F2,F,Mild touch,escape,20,17,0.85
Day 1 no drug,F2,F,Pin prick,withdrawal,31,32,1.032258064516129
Day 1 no drug,F2,F,Pin prick,flinch,31,5,0.16129032258064516
Day 1 no drug,F2,F,Pin prick,attending,31,5,0.16129032258064516
Day 1 no drug,F2,F,Pin prick,lickbite,31,14,0.45161290322580644
Day 1 no drug,F2,F,Pin prick,guarding,31,8,0.25806451612903225
Day 1 no drug,F2,F,Pin prick,escape,31,7,0.22580645161290322
Day 1 no drug,F2,F,Light touch,withdrawal,17,14,0.8235294117647058
Day 1 no drug,F2,F,Light touch,flinch,17,7,0.4117647058823529
Day 1 no drug,F2,F,Light touch,attending,17,3,0.17647058823529413
Day 1 no drug,F2,F,Light touch,lickbite,17,2,0.11764705882352941
Day 1 no drug,F2,F,Light touch,guarding,17,1,0.058823529411764705
Day 1 no drug,F2,F,Light touch,escape,17,12,0.7058823529411765
Day 1 no drug,F3,F,Heat,withdrawal,15,35,2.3333333333333335
Day 1 no drug,F3,F,Heat,flinch,15,2,0.13333333333333333
Day 1 no drug,F3,F,Heat,attending,15,5,0.3333333333333333
Day 1 no drug,F3,F,Heat,lickbite,15,33,2.2
Day 1 no drug,F3,F,Heat,guarding,15,8,0.5333333333333333
Day 1 no drug,F3,F,Heat,escape,15,38,2.533333333333333
Day 1 no drug,F3,F,Light touch,withdrawal,30,16,0.5333333333333333
Day 1 no drug,F3,F,Light touch,flinch,30,7,0.23333333333333334
Day 1 no drug,F3,F,Light touch,attending,30,4,0.13333333333333333
Day 1 no drug,F3,F,Light touch,lickbite,30,5,0.16666666666666666
Day 1 no drug,F3,F,Light touch,guarding,30,3,0.1
Day 1 no drug,F3,F,Light touch,escape,30,5,0.16666666666666666
Day 1 no drug,F3,F,Pin prick,withdrawal,21,18,0.8571428571428571
Day 1 no drug,F3,F,Pin prick,flinch,21,15,0.7142857142857143
Day 1 no drug,F3,F,Pin prick,attending,21,2,0.09523809523809523
Day 1 no drug,F3,F,Pin prick,lickbite,21,8,0.38095238095238093
Day 1 no drug,F3,F,Pin prick,guarding,21,12,0.5714285714285714
Day 1 no drug,F3,F,Pin prick,escape,21,20,0.9523809523809523
Day 1 no drug,F3,F,Mild touch,withdrawal,19,19,1.0
Day 1 no drug,F3,F,Mild touch,flinch,19,9,0.47368421052631576
Day 1 no drug,F3,F,Mild touch,attending,19,4,0.21052631578947367
Day 1 no drug,F3,F,Mild touch,lickbite,19,2,0.10526315789473684
Day 1 no drug,F3,F,Mild touch,guarding,19,2,0.10526315789473684
Day 1 no drug,F3,F,Mild touch,escape,19,7,0.3684210526315789
Day 1 no drug,M1,M,Mild touch,withdrawal,26,29,1.1153846153846154
Day 1 no drug,M1,M,Mild touch,flinch,26,18,0.6923076923076923
Day 1 no drug,M1,M,Mild touch,attending,26,5,0.19230769230769232
Day 1 no drug,M1,M,Mild touch,lickbite,26,4,0.15384615384615385
Day 1 no drug,M1,M,Mild touch,guarding,26,8,0.3076923076923077
Day 1 no drug,M1,M,Mild touch,escape,26,11,0.4230769230769231
Day 1 no drug,M1,M,Light touch,withdrawal,28,21,0.75
Day 1 no drug,M1,M,Light touch,flinch,28,28,1.0
Day 1 no drug,M1,M,Light touch,attending,28,4,0.14285714285714285
Day 1 no drug,M1,M,Light touch,lickbite,28,7,0.25
Day 1 no drug,M1,M,Light touch,guarding,28,2,0.07142857142857142
Day 1 no drug,M1,M,Light touch,escape,28,12,0.42857142857142855
Day 1 no drug,M1,M,Heat,withdrawal,22,18,0.8181818181818182
Day 1 no drug,M1,M,Heat,flinch,22,60,2.727272727272727
Day 1 no drug,M1,M,Heat,attending,22,15,0.6818181818181818
Day 1 no drug,M1,M,Heat,lickbite,22,9,0.4090909090909091
Day 1 no drug,M1,M,Heat,guarding,22,9,0.4090909090909091
Day 1 no drug,M1,M,Heat,escape,22,10,0.45454545454545453
Day 1 no drug,M1,M,Pin prick,withdrawal,24,27,1.125
Day 1 no drug,M1,M,Pin prick,flinch,24,38,1.5833333333333333
Day 1 no drug,M1,M,Pin prick,attending,24,8,0.3333333333333333
Day 1 no drug,M1,M,Pin prick,lickbite,24,0,0.0
Day 1 no drug,M1,M,Pin prick,guarding,24,8,0.3333333333333333
Day 1 no drug,M1,M,Pin prick,escape,24,7,0.2916666666666667
Day 1 no drug,M2,M,Pin prick,withdrawal,23,31,1.3478260869565217
Day 1 no drug,M2,M,Pin prick,flinch,23,33,1.434782608695652
Day 1 no drug,M2,M,Pin prick,attending,23,11,0.4782608695652174
Day 1 no drug,M2,M,Pin prick,lickbite,23,6,0.2608695652173913
Day 1 no drug,M2,M,Pin prick,guarding,23,4,0.17391304347826086
Day 1 no drug,M2,M,Pin prick,escape,23,21,0.9130434782608695
Day 1 no drug,M2,M,Mild touch,withdrawal,21,22,1.0476190476190477
Day 1 no drug,M2,M,Mild touch,flinch,21,22,1.0476190476190477
Day 1 no drug,M2,M,Mild touch,attending,21,9,0.42857142857142855
Day 1 no drug,M2,M,Mild touch,lickbite,21,5,0.23809523809523808
Day 1 no drug,M2,M,Mild touch,guarding,21,6,0.2857142857142857
Day 1 no drug,M2,M,Mild touch,escape,21,15,0.7142857142857143
Day 1 no drug,M2,M,Heat,withdrawal,16,27,1.6875
Day 1 no drug,M2,M,Heat,flinch,16,43,2.6875
Day 1 no drug,M2,M,Heat,attending,16,9,0.5625
Day 1 no drug,M2,M,Heat,lickbite,16,7,0.4375
Day 1 no drug,M2,M,Heat,guarding,16,10,0.625
Day 1 no drug,M2,M,Heat,escape,16,15,0.9375
Day 1 no drug,M2,M,Light touch,withdrawal,23,17,0.7391304347826086
Day 1 no drug,M2,M,Light touch,flinch,23,8,0.34782608695652173
Day 1 no drug,M2,M,Light touch,attending,23,7,0.30434782608695654
Day 1 no drug,M2,M,Light touch,lickbite,23,0,0.0
Day 1 no drug,M2,M,Light touch,guarding,23,1,0.043478260869565216
Day 1 no drug,M2,M,Light touch,escape,23,9,0.391304347826087
Day 1 no drug,M3,M,Pin prick,withdrawal,22,23,1.0454545454545454
Day 1 no drug,M3,M,Pin prick,flinch,22,11,0.5
Day 1 no drug,M3,M,Pin prick,attending,22,13,0.5909090909090909
Day 1 no drug,M3,M,Pin prick,lickbite,22,5,0.22727272727272727
Day 1 no drug,M3,M,Pin prick,guarding,22,2,0.09090909090909091
Day 1 no drug,M3,M,Pin prick,escape,22,10,0.45454545454545453
Day 1 no drug,M3,M,Mild touch,withdrawal,24,27,1.125
Day 1 no drug,M3,M,Mild touch,flinch,24,4,0.16666666666666666
Day 1 no drug,M3,M,Mild touch,attending,24,10,0.4166666666666667
Day 1 no drug,M3,M,Mild touch,lickbite,24,3,0.125
