behaviour,stimulus,n,day1,day2,p_paired,p_floor,q
withdrawal,Light touch,6,0.7461503784649565,0.40279652121757387,0.03125,0.03125,0.03125
withdrawal,Mild touch,6,1.1377442002442002,0.5866467954703248,0.03125,0.03125,0.03125
withdrawal,Heat,6,1.5090387571365833,0.8288606130711393,0.03125,0.03125,0.03125
withdrawal,Pin prick,6,1.1096135923450088,0.8715492776057792,0.09375,0.03125,0.09375
flinch,Light touch,6,0.4518509907256711,0.09692783996189569,0.03125,0.03125,0.03125
flinch,Mild touch,6,0.5845334490071331,0.27295242883478177,0.21875,0.03125,0.21875
flinch,Heat,6,1.3757712999560825,0.6607801555169976,0.4375,0.03125,0.4375
flinch,Pin prick,6,0.8676986631492242,0.6187005503955968,0.5625,0.03125,0.5625
attending,Light touch,6,0.17950148175212113,0.08950213013680507,0.4375,0.03125,0.4375
attending,Mild touch,6,0.24967868388921022,0.06433239962651727,0.0625,0.03125,0.0625
attending,Heat,6,0.42018829600351343,0.19977829188355503,0.21875,0.03125,0.21875
attending,Pin prick,6,0.359838618604397,0.16074346405228757,0.0625,0.03125,0.0625
lickbite,Light touch,6,0.11087046939988117,0.038461538461538464,0.3125,0.03125,0.3125
lickbite,Mild touch,6,0.17870075830602147,0.10164835164835163,0.4375,0.03125,0.4375
lickbite,Heat,6,0.925881093544137,0.14656191761454918,0.03125,0.03125,0.03125
lickbite,Pin prick,6,0.2513679294447177,0.04391339869281046,0.0625,0.03125,0.0625
guarding,Light touch,6,0.07895506028498356,0.07390648567119155,0.4375,0.03125,0.4375
guarding,Mild touch,6,0.15896632607158923,0.059645909645909635,0.21875,0.03125,0.21875
guarding,Heat,6,0.4684837505489679,0.21084763190026345,0.15625,0.03125,0.15625
guarding,Pin prick,6,0.23794142587971479,0.10495141038871687,0.21875,0.03125,0.21875
escape,Light touch,6,0.36085867812210526,0.09696422428620571,0.03125,0.03125,0.03125
escape,Mild touch,6,0.4797032645716856,0.0701525054466231,0.03125,0.03125,0.03125
escape,Heat,6,1.086476174791392,0.18044791465844098,0.03125,0.03125,0.03125
escape,Pin prick,6,0.733323833911141,0.08800954592363262,0.03125,0.03125,0.03125
