behaviour,measure,reliable,n_pairs,day1_median,day2_median,delta_median,p_wilcoxon,p_ttest,p_floor,q_wilcoxon
attending,n_events,yes,6,25.5,7.5,-17.5,0.03125,0.0062436313650069426,0.03125,0.058823529411764705
attending,events_per_min,yes,6,0.9064857338097685,0.2671692767123258,-0.6085517708094492,0.03125,0.006039843350444411,0.03125,0.058823529411764705
attending,n_per_delivery,yes,6,0.26795454545454545,0.12164602683178534,-0.14024002622038206,0.03125,0.009601507410567678,0.03125,0.058823529411764705
attending,median_iei_s,yes,6,13.733319599999998,73.774926225,55.124944875,0.3125,0.27483283769469957,0.03125,0.3448275862068966
attending,total_dur_s,NO - tap scoring,6,14.0333193,8.366658300000001,-3.8999961,0.21875,0.15727006121576084,0.03125,0.28
attending,pct_of_session,NO - tap scoring,6,0.8303916459553449,0.49437965769374315,-0.21561037521638082,0.21875,0.1626646594017441,0.03125,0.28
lickbite,n_events,yes,6,21.0,5.0,-18.0,0.03125,0.022395772642813363,0.03125,0.058823529411764705
lickbite,events_per_min,yes,6,0.7380433453468347,0.17756955783254055,-0.6383227379130587,0.03125,0.022841024535568015,0.03125,0.058823529411764705
lickbite,n_per_delivery,yes,6,0.23032714412024757,0.08283208020050126,-0.19021675989672976,0.03125,0.041706433754855866,0.03125,0.058823529411764705
lickbite,median_iei_s,yes,4,13.624986374999999,22.524977475,15.566651100000001,0.625,0.34214411113899956,0.125,0.625
lickbite,total_dur_s,NO - tap scoring,6,14.0666526,4.01666265,-9.333324,0.03125,0.04011121234367632,0.03125,0.058823529411764705
lickbite,pct_of_session,NO - tap scoring,6,0.8283017889677288,0.23753681885426378,-0.5479669835242027,0.03125,0.040509908651452146,0.03125,0.058823529411764705
guarding,n_events,yes,6,23.5,7.5,-16.5,0.0625,0.05370963595904006,0.03125,0.1
guarding,events_per_min,yes,6,0.8286874779691883,0.2671005236074847,-0.5868293107029975,0.0625,0.054940094321047454,0.03125,0.1
guarding,n_per_delivery,yes,6,0.2625499500499501,0.12306501547987617,-0.15467562623135378,0.15625,0.15586344528308385,0.03125,0.23809523809523808
guarding,median_iei_s,yes,5,4.38332895,103.31656335,98.93323439999999,0.625,0.6868792322617671,0.0625,0.625
guarding,total_dur_s,NO - tap scoring,6,17.51664915,6.68332665,-10.44998955,0.21875,0.1788328088597715,0.03125,0.28
guarding,pct_of_session,NO - tap scoring,6,1.0298227735147425,0.39642876901557966,-0.607126140567908,0.21875,0.18144910538976958,0.03125,0.28
escape,n_events,yes,6,78.0,11.5,-71.0,0.03125,0.0004204244649926455,0.03125,0.058823529411764705
escape,events_per_min,yes,6,2.784696425618095,0.4084536030025968,-2.535187455410319,0.03125,0.00045730244821960903,0.03125,0.058823529411764705
escape,n_per_delivery,yes,6,0.891980146290491,0.18938577586206895,-0.7709880107792993,0.03125,0.0012821949018911544,0.03125,0.058823529411764705
escape,median_iei_s,yes,6,9.508323825,37.799962199999996,25.14997485,0.03125,0.23389283997116306,0.03125,0.058823529411764705
escape,total_dur_s,NO - tap scoring,6,95.999904,18.8666478,-71.9665947,0.03125,0.0011147911534936574,0.03125,0.058823529411764705
escape,pct_of_session,NO - tap scoring,6,5.649188417772747,1.1218413451669398,-4.19212954400538,0.03125,0.0011137843463800451,0.03125,0.058823529411764705
withdrawal,n_events,yes,6,97.5,41.0,-53.5,0.03125,0.0004601448169772104,0.03125,0.058823529411764705
withdrawal,events_per_min,yes,6,3.4569777478781125,1.4598449652894718,-1.907933451324801,0.03125,0.0005929073152080409,0.03125,0.058823529411764705
withdrawal,n_per_delivery,yes,6,1.094155844155844,0.6670892494929006,-0.369889705882353,0.03125,0.0070475807563553225,0.03125,0.058823529411764705
withdrawal,median_iei_s,yes,6,2.11666455,3.14999685,1.2083321249999999,0.0625,0.027653081423336195,0.03125,0.1
withdrawal,total_dur_s,NO - tap scoring,0,,,,,,,
withdrawal,pct_of_session,NO - tap scoring,0,,,,,,,
flinch,n_events,yes,6,59.0,21.5,-28.5,0.3125,0.12089232548623702,0.03125,0.3448275862068966
flinch,events_per_min,yes,6,2.0854078930254705,0.762757699411489,-1.0194303404047775,0.3125,0.1227624352891638,0.03125,0.3448275862068966
flinch,n_per_delivery,yes,6,0.6660351143109764,0.3599232456140351,-0.21964164976335362,0.4375,0.2250319673813298,0.03125,0.4666666666666667
flinch,median_iei_s,yes,6,1.38333195,1.8666648,1.058332275,0.3125,0.1932053876823374,0.03125,0.3448275862068966
flinch,total_dur_s,NO - tap scoring,0,,,,,,,
flinch,pct_of_session,NO - tap scoring,0,,,,,,,
