session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery,base,delta
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,guarding,affective,1,0.999999,0.2000002000002,0.3333333333333333,0.0384615384615384,0.0384614999999999,0.0,0.2000002000002
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,escape,affective,6,2.8666638,1.2000012000012,0.9555555555555556,0.2307692307692307,0.1102563,4.200004200004201,-3.0000030000030007
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,40,,8.000008000008002,,1.5384615384615383,,0.0,8.000008000008002
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,flinch,reflexive,28,,5.600005600005601,,1.0769230769230769,,0.0,5.600005600005601
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,attending,affective,8,2.6333307,1.6000016000016002,0.8777777777777778,0.5,0.1645831687499999,0.0,1.6000016000016002
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,lickbite,affective,3,0.3999995999999999,0.6000006000006001,0.1333333333333333,0.1875,0.0249999749999999,0.0,0.6000006000006001
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,escape,affective,25,24.8333085,5.000005000005001,8.277777777777779,1.5625,1.5520817812499998,4.200004200004201,0.8000008000008005
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,20,,4.000004000004001,,1.25,,0.0,4.000004000004001
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block2_Pin prick,stimulus,2,2,Pin prick,16,299.9997,4.999994999999999,0,0.0,flinch,reflexive,13,,2.6000026000026004,,0.8125,,0.0,2.6000026000026004
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,attending,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,lickbite,affective,3,1.1333322,0.6000006000006001,0.3777777777777777,0.1363636363636363,0.0515150999999999,0.0,0.6000006000006001
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,guarding,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,escape,affective,6,6.4999935,1.2000012000012,2.1666666666666665,0.2727272727272727,0.29545425,4.200004200004201,-3.0000030000030007
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,13,,2.6000026000026004,,0.5909090909090909,,0.0,2.6000026000026004
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block3_Light touch,stimulus,3,3,Light touch,22,299.9997,4.999994999999999,0,0.0,flinch,reflexive,7,,1.4000014000014005,,0.3181818181818182,,0.0,1.4000014000014005
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,attending,affective,2,0.2333331,0.4118526026774511,0.0800823704381649,0.0869565217391304,0.0101449173913043,0.0,0.4118526026774511
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,lickbite,affective,14,7.8333255,2.882968218742158,2.6884795789955387,0.6086956521739131,0.3405793695652174,0.0,2.882968218742158
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,guarding,affective,1,0.999999,0.2059263013387255,0.343210159020707,0.0434782608695652,0.0434782173913043,0.0,0.2059263013387255
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,escape,affective,25,22.5333108,5.148157533468139,7.733668916599933,1.0869565217391304,0.9797091652173912,4.200004200004201,0.9481533334639387
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,withdrawal,reflexive,36,,7.413346848194121,,1.565217391304348,,0.0,7.413346848194121
1,F1,F,Day1 no drug,Baseline (no injection),30.00003000003,50427,0.0,1680.8983191,block4_Heat,stimulus,4,4,Heat,23,291.3663753,4.856106254999999,1,0.0,flinch,reflexive,22,,4.530378629451962,,0.9565217391304348,,0.0,4.530378629451962
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,attending,affective,6,1.2666654,1.2000012000012,0.4222222222222223,0.3,0.06333327,0.0,1.2000012000012
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,lickbite,affective,26,8.7666579,5.200005200005201,2.9222222222222225,1.3,0.438332895,0.0,5.200005200005201
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,guarding,affective,11,10.333323,2.2000022000022,3.444444444444445,0.55,0.51666615,0.0,2.2000022000022
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,escape,affective,17,14.7666519,3.4000034000034005,4.922222222222223,0.85,0.7383325949999999,2.0000020000020005,1.4000014000014
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,26,,5.200005200005201,,1.3,,0.0,5.200005200005201
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block1_Heat,stimulus,1,1,Heat,20,299.9997,4.999994999999999,0,0.0,flinch,reflexive,12,,2.4000024000024003,,0.6,,0.0,2.4000024000024003
2,F2,F,Day1 no drug,Baseline (no injection),30.00003000003,50408,0.0,1680.2649864,block2_Mild touch,stimulus,2,2,Mild touch,20,299.9997,4.999994999999999,0,0.0,attending,affective,5,1.1666655,1.0000010000010002,0.3888888888888889,0.25,0.058333275,0.0,1.0000010000010002
