behaviour,measure,n_pairs,day1_median,day2_median,delta_median,p_wilcoxon,p_ttest,p_floor,n1,n2,day1_mean,day2_mean,day1_sem,day2_sem,p_mannwhitney,p_welch,q_wilcoxon
attending,n_events,6,25.5,7.5,-17.5,0.03125,0.0062436313650069426,0.03125,6,6,26.0,9.166666666666666,5.391351098441528,2.400231470319292,0.02472171233844612,0.02495775451082752,0.057692307692307696
attending,events_per_min,6,0.9064857338097685,0.2671692767123258,-0.6085517708094492,0.03125,0.006039843350444411,0.03125,6,6,0.9186349537458964,0.3255548606519021,0.187941061665695,0.08514613014097039,0.015151515151515152,0.02395320837210884,0.057692307692307696
attending,n_per_delivery,6,0.26795454545454545,0.12164602683178534,-0.14024002622038206,0.03125,0.009601507410567678,0.03125,6,6,0.2909388021562684,0.13774351851861796,0.059861752647876125,0.032319790845929425,0.06493506493506493,0.05572070927461164,0.057692307692307696
attending,median_iei_s,6,13.733319599999998,73.774926225,55.124944875,0.3125,0.27483283769469957,0.03125,6,6,29.552748225,72.797149425,14.928048636582838,26.397783351635393,0.3939393939393939,0.19216760551927675,0.35714285714285715
lickbite,n_events,6,21.0,5.0,-18.0,0.03125,0.022395772642813363,0.03125,6,6,31.333333333333332,5.666666666666667,7.04588138166152,1.9776529298921772,0.00492203567532315,0.013504360899769292,0.057692307692307696
lickbite,events_per_min,6,0.7380433453468347,0.17756955783254055,-0.6383227379130587,0.03125,0.022841024535568015,0.03125,6,6,1.11179125828524,0.2015717905619511,0.2514568345193693,0.07048777982037682,0.0021645021645021645,0.013866241401582456,0.057692307692307696
lickbite,n_per_delivery,6,0.23032714412024757,0.08283208020050126,-0.19021675989672976,0.03125,0.041706433754855866,0.03125,6,6,0.3563231558080528,0.09114892286145136,0.08381093538951548,0.03358372501513298,0.004329004329004329,0.02346371517512921,0.057692307692307696
lickbite,median_iei_s,4,13.624986374999999,22.524977475,15.566651100000001,0.625,0.34214411113899956,0.125,6,4,15.574984424999998,36.2457970875,5.045184724760893,21.57342572809035,0.6095238095238095,0.41338084011517556,0.625
guarding,n_events,6,23.5,7.5,-16.5,0.0625,0.05370963595904006,0.03125,6,6,20.5,7.166666666666667,3.818813079129867,2.0561560684388183,0.037040730591937965,0.016038108253425706,0.09375
guarding,events_per_min,6,0.8286874779691883,0.2671005236074847,-0.5868293107029975,0.0625,0.054940094321047454,0.03125,6,6,0.7254428754407599,0.2550290495426515,0.13502630321329012,0.07322877780321699,0.025974025974025976,0.016235244284475914,0.09375
