day,file,session,mouse,sex,phase,treatment,session_s,n_deliveries,stim_median_iti_s,cls,behaviour,n_events,events_per_min,n_per_delivery,total_dur_s,pct_of_session,median_iei_s
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,affective,attending,10,0.35695199000571126,0.11494252873563218,3.1666635,0.18839113966724175,13.699986299999999
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,affective,lickbite,20,0.7139039800114225,0.22988505747126436,9.3666573,0.5572411604894203,19.7333136
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,affective,guarding,2,0.07139039800114225,0.022988505747126436,1.999998,0.11898387768457373,972.5656941
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,affective,escape,86,3.0697871140491166,0.9885057471264368,71.93326139999999,4.279453467388501,7.5999924
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,reflexive,withdrawal,109,3.8907766910622525,1.2528735632183907,,,2.71666395
Day1 no drug,ScoringAB_female1bottom000126_09_0212_00_19.mat,1,F1,F,Baseline (no injection),None,1680.9,87,4.77,reflexive,flinch,70,2.498663930039979,0.8045977011494253,,,4.7333286
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,affective,attending,19,0.6784644143793486,0.2159090909090909,5.0333283,0.29955562609109665,32.099967899999996
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,affective,lickbite,51,1.821141322807725,0.5795454545454546,15.9333174,0.948262180606253,5.0999948999999996
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,affective,guarding,23,0.8212990279328956,0.26136363636363635,17.5999824,1.0474527852721789,4.38332895
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,affective,escape,70,2.4996057371870735,0.7954545454545454,56.633276699999996,3.3704967465481666,10.699989299999999
Day1 no drug,ScoringAB_female2bottom000226_09_0212_33_04_009.mat,2,F2,F,Baseline (no injection),None,1680.3,88,2.9,reflexive,withdrawal,92,3.285196111731582,1.0454545454545454,,,1.4666652
