mouse,behaviour,stimulus,n_deliv_day1,n_deliv_day2,rate_day1,rate_day2,rate_ratio,p_rate,rr_lo,rr_hi,p_day1,p_day2,delta,odds_ratio,ci_lo,ci_hi,p_fisher,min_detectable_delta,q_fisher,q_rate,change_index,change_index_lo,change_index_hi
F1,attending,ALL,87,58,0.12643678160919541,0.15517241379310345,1.2272727272727273,0.6819934857325747,0.5247096173161985,2.926274235753627,0.09195402298850575,0.06896551724137931,-0.022988505747126436,1.294898672257163,0.3925577563241238,4.271378018649842,0.7629874008724671,0.09,0.8530293922797769,0.7506039184903374,1.2272727272727273,0.5247096173161985,2.926274235753627
F1,attending,Heat,23,15,0.13043478260869565,0.0,0.0,0.1596625835422425,0.01131407670284934,4.240899250607613,0.13043478260869565,0.0,-0.13043478260869565,5.2926829268292686,0.2542422054262913,110.18033971574907,0.263869132290185,0.42,0.36256827337582676,0.21008234676610854,0.0,0.01131407670284934,4.240899250607613
F1,attending,Light touch,22,13,0.0,0.6923076923076923,,0.007183232626370018,1.8713595047874239,552.469912830912,0.0,0.3076923076923077,0.3076923076923077,0.04691358024691358,0.002292624680620496,0.9599844362610344,0.01365546218487395,0.38,0.03192185965295209,0.017220078213900727,,1.8713595047874239,552.469912830912
F1,attending,Mild touch,26,13,0.0,0.0,,,0.03968218948874058,100.80088955613098,0.0,0.0,0.0,0.5094339622641509,0.009572467096468312,27.11139764626627,1.0,0.38,1.0,,,0.03968218948874058,100.80088955613098
F1,attending,Pin prick,16,17,0.5,0.0,0.0,0.01521709513930672,0.003195355542935545,0.9592351647472233,0.3125,0.0,-0.3125,16.73913043478261,0.8424517554555889,332.5988531665377,0.018404287592274242,0.44,0.040898416871720536,0.03208423673950212,0.0,0.003195355542935545,0.9592351647472233
F1,escape,ALL,87,58,0.7241379310344828,0.017241379310344827,0.023809523809523808,2.7354855077429063e-09,0.007018300119669264,0.17888982938851414,0.4827586206896552,0.017241379310344827,-0.4655172413793104,35.8058608058608,6.712593654240169,190.99318893507518,9.305386049478573e-11,0.23,2.791615814843572e-09,5.3189995983889844e-08,0.023809523809523808,0.007018300119669264,0.17888982938851414
F1,escape,Heat,23,15,1.0434782608695652,0.0,0.0,0.00013292572539338514,0.0019028999188843722,0.5145943887554176,0.6521739130434783,0.0,-0.6521739130434783,56.529411764705884,2.9949615066453075,1066.983461180798,3.343128562670744e-05,0.32,0.00024736528440334185,0.0006841765277600706,0.0,0.0019028999188843722,0.5145943887554176
F1,escape,Light touch,22,13,0.45454545454545453,0.0,0.0,0.01634179942647579,0.004722027339635856,1.3752814029084113,0.36363636363636365,0.0,-0.36363636363636365,15.827586206896552,0.8309220477238262,301.4873486905054,0.015245230461483813,0.33,0.035181301064962645,0.033644881172156034,0.0,0.004722027339635856,1.3752814029084113
F1,escape,Mild touch,26,13,0.46153846153846156,0.0,0.0,0.02935675682608381,0.004736386175583758,1.3512411705346645,0.3076923076923077,0.0,-0.3076923076923077,12.405405405405405,0.6576343544306191,234.0116239908169,0.03520393458473953,0.29,0.0696341563214628,0.05349404588499112,0.0,0.004736386175583758,1.3512411705346645
F1,escape,Pin prick,16,17,1.0625,0.058823529411764705,0.05536332179930796,0.00020914175669985556,0.015224192340252274,0.42747850429393053,0.6875,0.058823529411764705,-0.6286764705882353,23.0,3.2523296953660172,162.65263658654575,0.0002318488849416934,0.44,0.001159244424708467,0.0010040511905578368,0.05536332179930796,0.015224192340252274,0.42747850429393053
F1,flinch,ALL,87,58,0.5287356321839081,0.39655172413793105,0.75,0.06859938577598132,0.4615989917399183,1.2449373176658263,0.41379310344827586,0.27586206896551724,-0.13793103448275862,1.8255369226243012,0.8981736137459042,3.71040186981868,0.11216991162030004,0.21,0.17557029644916528,0.10260591889569856,0.75,0.4615989917399183,1.2449373176658263
