metric,behaviour,stimulus,n_mice,day1_mean,day2_mean,day1_sem,day2_sem,n_up,n_down,n_tied,p_wilcoxon,p_mannwhitney,p_floor,q_wilcoxon
rate,withdrawal,ALL,6,1.0972984052681138,0.6737123704082317,0.045059347188101825,0.03799257553341147,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
rate,withdrawal,Heat,6,1.5090387571365833,0.8288606130711393,0.20581057964767796,0.08711360953986888,0,6,0,0.03125,0.015151515151515152,0.03125,0.09375
rate,withdrawal,Light touch,6,0.7461503784649565,0.40279652121757387,0.07343708557364295,0.0633259622228615,0,6,0,0.03125,0.008658008658008658,0.03125,0.09375
rate,withdrawal,Mild touch,6,1.1377442002442002,0.5866467954703248,0.08312765752353057,0.045041509012216124,0,6,0,0.03125,0.004998124765082457,0.03125,0.09375
rate,withdrawal,Pin prick,6,1.1096135923450088,0.8715492776057792,0.07083596325335771,0.04196405280406259,1,5,0,0.09375,0.025974025974025976,0.03125,0.1939655172413793
rate,flinch,ALL,6,0.7869174775942414,0.40569346241559767,0.19546613248140296,0.08516827191198445,3,3,0,0.4375,0.13203463203463203,0.03125,0.546875
rate,flinch,Heat,6,1.3757712999560825,0.6607801555169976,0.4441998189792297,0.18433757179884855,2,4,0,0.4375,0.24025974025974026,0.03125,0.546875
rate,flinch,Light touch,6,0.4518509907256711,0.09692783996189569,0.11272405344101377,0.051760230150360395,0,6,0,0.03125,0.007795826617354622,0.03125,0.09375
rate,flinch,Mild touch,6,0.5845334490071331,0.27295242883478177,0.17711929260649711,0.07765629700702857,2,4,0,0.21875,0.30952380952380953,0.03125,0.328125
rate,flinch,Pin prick,6,0.8676986631492242,0.6187005503955968,0.2231975700483813,0.1459064977574341,3,3,0,0.5625,0.8181818181818182,0.03125,0.6367924528301887
rate,attending,ALL,6,0.2870150612154938,0.12092070664739059,0.060000691079883886,0.027692655053340908,0,6,0,0.03125,0.04112554112554113,0.03125,0.09375
rate,attending,Heat,6,0.42018829600351343,0.19977829188355503,0.09745674745704497,0.08122383604105983,2,4,0,0.21875,0.09212510369170912,0.03125,0.328125
rate,attending,Light touch,6,0.17950148175212113,0.08950213013680507,0.04865892076204476,0.03514553427294032,1,5,0,0.4375,0.12553027026341518,0.03125,0.546875
rate,attending,Mild touch,6,0.24967868388921022,0.06433239962651727,0.06507725857972624,0.03222966044480652,0,5,1,0.0625,0.03408693425979851,0.03125,0.13392857142857142
rate,attending,Pin prick,6,0.359838618604397,0.16074346405228757,0.08107609563355121,0.05884770801651534,1,5,0,0.0625,0.17273282913055155,0.03125,0.13392857142857142
rate,lickbite,ALL,6,0.33504647369080764,0.08058947827296865,0.07510199978408,0.032481408599060416,0,6,0,0.03125,0.004329004329004329,0.03125,0.09375
rate,lickbite,Heat,6,0.925881093544137,0.14656191761454918,0.28727090713478864,0.06409198258764413,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
rate,lickbite,Light touch,6,0.11087046939988117,0.038461538461538464,0.0366194416159059,0.038461538461538464,1,4,1,0.3125,0.08739862890369782,0.03125,0.44642857142857145
rate,lickbite,Mild touch,6,0.17870075830602147,0.10164835164835163,0.06270554142231564,0.08813787397438395,1,5,0,0.4375,0.15814709582676878,0.03125,0.546875
rate,lickbite,Pin prick,6,0.2513679294447177,0.04391339869281046,0.06450477703552311,0.014376821810163256,0,5,1,0.0625,0.04345280199222441,0.03125,0.13392857142857142
rate,guarding,ALL,6,0.22374847139522472,0.11103951596039352,0.0408544646224286,0.032233513333619714,1,5,0,0.15625,0.04112554112554113,0.03125,0.2757352941176471
rate,guarding,Heat,6,0.4684837505489679,0.21084763190026345,0.09173385931467676,0.06973689597623081,1,5,0,0.15625,0.06493506493506493,0.03125,0.2757352941176471
rate,guarding,Light touch,6,0.07895506028498356,0.07390648567119155,0.0277183443044451,0.06287982982104325,1,5,0,0.4375,0.2442362964321273,0.03125,0.546875
rate,guarding,Mild touch,6,0.15896632607158923,0.059645909645909635,0.047442193757114476,0.03412436291457504,2,4,0,0.21875,0.12553027026341518,0.03125,0.328125
rate,guarding,Pin prick,6,0.23794142587971479,0.10495141038871687,0.08227038641874296,0.03092808845782084,2,4,0,0.21875,0.19860784944113763,0.03125,0.328125
rate,escape,ALL,6,0.6075745876990409,0.11086313666997775,0.07228126159467968,0.028656317226329636,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
rate,escape,Heat,6,1.086476174791392,0.18044791465844098,0.3012230407631013,0.04805981525175724,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
rate,escape,Light touch,6,0.36085867812210526,0.09696422428620571,0.08080975349959539,0.042577863334047644,0,6,0,0.03125,0.020022386750866865,0.03125,0.09375
rate,escape,Mild touch,6,0.4797032645716856,0.0701525054466231,0.10084059806858903,0.02442420297558435,0,6,0,0.03125,0.004998124765082457,0.03125,0.09375
rate,escape,Pin prick,6,0.733323833911141,0.08800954592363262,0.2080200805725525,0.024993050695767276,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
hit,withdrawal,ALL,6,0.7980976884445933,0.75160901618237,0.06582558218467194,0.025282956458146717,2,4,0,0.5625,0.24025974025974026,0.03125,0.6367924528301887
hit,withdrawal,Heat,6,0.8815217391304347,0.8367200051410578,0.0788099698144531,0.04706872133302374,2,4,0,0.6875,0.2893626153186982,0.03125,0.7112068965517241
hit,withdrawal,Light touch,6,0.6553978587482424,0.5417273072071834,0.0831975070520906,0.06263067855924169,3,3,0,0.5625,0.33582209832134224,0.03125,0.6367924528301887
hit,withdrawal,Mild touch,6,0.8368437118437119,0.7011324187794776,0.08736936178300006,0.04032279179177786,1,5,0,0.15625,0.17046586501309957,0.03125,0.2757352941176471
hit,withdrawal,Pin prick,6,0.8405067884818936,0.9087009803921569,0.08378005767241059,0.030794937360727564,3,3,0,0.6875,0.9359624729209428,0.03125,0.7112068965517241
hit,flinch,ALL,6,0.4898485233210544,0.38631182870505115,0.09780944513183075,0.060963501330321176,3,3,0,0.6875,0.30952380952380953,0.03125,0.7112068965517241
hit,flinch,Heat,6,0.6826086956521739,0.5386414754835808,0.1541864843612187,0.11491754011903692,2,4,0,0.5625,0.3776423913808655,0.03125,0.6367924528301887
hit,flinch,Light touch,6,0.31054858043349093,0.1381281257442248,0.08804868220786476,0.07023641384549936,2,4,0,0.21875,0.22649054028251026,0.03125,0.328125
hit,flinch,Mild touch,6,0.4574689929953087,0.3197179726591491,0.1230161275359886,0.08068561870263789,2,3,1,0.4375,0.5211099829589063,0.03125,0.546875
hit,flinch,Pin prick,6,0.5382073464559439,0.5558243034055728,0.14701488629058337,0.09707594151510787,4,2,0,0.84375,0.9372294372294373,0.03125,0.8580508474576272
hit,attending,ALL,6,0.4629359057624655,0.16648466144124033,0.08979663509434865,0.03872328508035191,0,6,0,0.03125,0.025974025974025976,0.03125,0.09375
hit,attending,Heat,6,0.5596179183135704,0.2103817235396183,0.09343546174823993,0.0777966055973552,0,6,0,0.03125,0.03034794173956043,0.03125,0.09375
hit,attending,Light touch,6,0.2891771201234117,0.08740176232436293,0.06841851829529162,0.05073825098926371,1,5,0,0.15625,0.050460608611093555,0.03125,0.2757352941176471
hit,attending,Mild touch,6,0.4388455112139323,0.1019607843137255,0.1365552359258986,0.07004145529212452,0,5,1,0.0625,0.056204380768491,0.03125,0.13392857142857142
hit,attending,Pin prick,6,0.5760922058695551,0.3047385620915033,0.09525875718950548,0.09763328270760775,0,5,1,0.0625,0.16970719633297593,0.03125,0.13392857142857142
hit,lickbite,ALL,6,0.3910991325582347,0.08611466261777156,0.06277379112667861,0.030196853137212355,0,6,0,0.03125,0.0021645021645021645,0.03125,0.09375
hit,lickbite,Heat,6,0.6738691260430391,0.15771479982006298,0.07216851589289622,0.05989497787527931,0,6,0,0.03125,0.004998124765082457,0.03125,0.09375
hit,lickbite,Light touch,6,0.1579339614633732,0.025641025641025644,0.05150735880467126,0.02564102564102564,1,4,1,0.125,0.06007935752435543,0.03125,0.25
hit,lickbite,Mild touch,6,0.2568215410320674,0.06318681318681318,0.0870343029951816,0.050272973808038884,1,5,0,0.3125,0.11471047821218691,0.03125,0.44642857142857145
hit,lickbite,Pin prick,6,0.4824095619590009,0.09640522875816993,0.13053097738893432,0.04416603495059147,0,5,1,0.0625,0.050460608611093555,0.03125,0.13392857142857142
hit,guarding,ALL,6,0.333214179038185,0.2349734676564064,0.05870821318139313,0.052959325253207255,1,5,0,0.21875,0.09307359307359307,0.03125,0.328125
