measure,period,n,day1,day2,ratio,n_down,p_wilcoxon
speed_px_s,ALL,6,24.75492382494757,11.834071368885738,0.47804919346831404,6,0.03125
speed_px_s,baseline,6,31.724564313944793,14.928584399961737,0.47056861844434394,6,0.03125
speed_px_s,block1,6,29.252038481863433,12.38296176920997,0.42331961845625,5,0.0625
speed_px_s,block2,6,24.425358485731454,9.608396588400561,0.393377914760739,5,0.0625
speed_px_s,block3,6,21.367070528699617,12.731384919268839,0.5958413860322321,5,0.0625
speed_px_s,block4,6,17.005587314498552,9.519029167587584,0.5597589187332501,4,0.15625
frac_moving,ALL,6,0.6167927603819675,0.4697968761566363,0.7616770272493153,5,0.0625
frac_moving,baseline,6,0.7209638019098379,0.523428825227626,0.7260126289850608,6,0.03125
frac_moving,block1,6,0.654,0.4881111111111111,0.7463472646958885,5,0.09375
frac_moving,block2,6,0.6347777777777778,0.4532222222222222,0.7139856467705233,5,0.0625
frac_moving,block3,6,0.5403333333333333,0.45455555555555555,0.8412502570429776,5,0.15625
frac_moving,block4,6,0.5338888888888889,0.4296666666666667,0.8047866805411031,5,0.09375
area_px,ALL,6,38815.166666666664,27323.466666666664,0.7039378936927575,6,0.03125
area_px,baseline,6,30536.0,23167.166666666668,0.7586837394114052,6,0.03125
area_px,block1,6,31022.333333333332,25598.333333333332,0.8251582193473519,5,0.15625
area_px,block2,6,37627.25,32593.083333333332,0.8662095511453357,4,0.15625
area_px,block3,6,46437.75,31103.666666666668,0.6697927153375577,5,0.0625
area_px,block4,6,48452.5,24155.083333333332,0.4985312075400306,6,0.03125
motion_index,ALL,6,7.246273668047785,5.152044503842771,0.7109922616586438,5,0.15625
motion_index,baseline,6,8.581250019479114,5.070353667647644,0.5908642279549171,6,0.03125
motion_index,block1,6,7.912319590782068,4.831519046801937,0.6106324436680622,5,0.09375
motion_index,block2,6,7.17007796109333,5.192682641882357,0.7242156459189392,5,0.09375
motion_index,block3,6,6.556356176618834,5.425472163424449,0.8275133347350279,4,0.5625
motion_index,block4,6,6.011364592265582,5.2401949994574695,0.8717147195163767,4,0.5625
