day,mouse,sex,stimulus,behaviour,n_deliveries,n_events,per_delivery
Day 1 no drug,F1,F,Mild touch,withdrawal,26,19,0.7307692307692307
Day 1 no drug,F1,F,Mild touch,flinch,26,16,0.6153846153846154
Day 1 no drug,F1,F,Mild touch,attending,26,0,0.0
Day 1 no drug,F1,F,Mild touch,lickbite,26,0,0.0
Day 1 no drug,F1,F,Mild touch,guarding,26,2,0.07692307692307693
Day 1 no drug,F1,F,Mild touch,escape,26,12,0.46153846153846156
Day 1 no drug,F1,F,Pin prick,withdrawal,16,9,0.5625
Day 1 no drug,F1,F,Pin prick,flinch,16,3,0.1875
Day 1 no drug,F1,F,Pin prick,attending,16,8,0.5
Day 1 no drug,F1,F,Pin prick,lickbite,16,3,0.1875
Day 1 no drug,F1,F,Pin prick,guarding,16,0,0.0
Day 1 no drug,F1,F,Pin prick,escape,16,17,1.0625
Day 1 no drug,F1,F,Light touch,withdrawal,22,7,0.3181818181818182
Day 1 no drug,F1,F,Light touch,flinch,22,5,0.22727272727272727
Day 1 no drug,F1,F,Light touch,attending,22,0,0.0
Day 1 no drug,F1,F,Light touch,lickbite,22,2,0.09090909090909091
Day 1 no drug,F1,F,Light touch,guarding,22,0,0.0
Day 1 no drug,F1,F,Light touch,escape,22,10,0.45454545454545453
Day 1 no drug,F1,F,Heat,withdrawal,23,33,1.434782608695652
Day 1 no drug,F1,F,Heat,flinch,23,22,0.9565217391304348
Day 1 no drug,F1,F,Heat,attending,23,3,0.13043478260869565
Day 1 no drug,F1,F,Heat,lickbite,23,30,1.3043478260869565
Day 1 no drug,F1,F,Heat,guarding,23,3,0.13043478260869565
Day 1 no drug,F1,F,Heat,escape,23,24,1.0434782608695652
Day 1 no drug,F2,F,Heat,withdrawal,20,48,2.4
Day 1 no drug,F2,F,Heat,flinch,20,32,1.6
Day 1 no drug,F2,F,Heat,attending,20,15,0.75
Day 1 no drug,F2,F,Heat,lickbite,20,43,2.15
Day 1 no drug,F2,F,Heat,guarding,20,28,1.4
Day 1 no drug,F2,F,Heat,escape,20,19,0.95
Day 1 no drug,F2,F,Mild touch,withdrawal,20,22,1.1
Day 1 no drug,F2,F,Mild touch,flinch,20,1,0.05
Day 1 no drug,F2,F,Mild touch,attending,20,6,0.3
Day 1 no drug,F2,F,Mild touch,lickbite,20,16,0.8
Day 1 no drug,F2,F,Mild touch,guarding,20,1,0.05
Day 1 no drug,F2,F,Mild touch,escape,20,21,1.05
Day 1 no drug,F2,F,Pin prick,withdrawal,31,70,2.2580645161290325
Day 1 no drug,F2,F,Pin prick,flinch,31,12,0.3870967741935484
Day 1 no drug,F2,F,Pin prick,attending,31,26,0.8387096774193549
Day 1 no drug,F2,F,Pin prick,lickbite,31,57,1.8387096774193548
Day 1 no drug,F2,F,Pin prick,guarding,31,43,1.3870967741935485
Day 1 no drug,F2,F,Pin prick,escape,31,18,0.5806451612903226
Day 1 no drug,F2,F,Light touch,withdrawal,17,18,1.0588235294117647
Day 1 no drug,F2,F,Light touch,flinch,17,10,0.5882352941176471
Day 1 no drug,F2,F,Light touch,attending,17,4,0.23529411764705882
Day 1 no drug,F2,F,Light touch,lickbite,17,3,0.17647058823529413
Day 1 no drug,F2,F,Light touch,guarding,17,3,0.17647058823529413
Day 1 no drug,F2,F,Light touch,escape,17,9,0.5294117647058824
Day 1 no drug,F3,F,Heat,withdrawal,15,45,3.0
Day 1 no drug,F3,F,Heat,flinch,15,0,0.0
Day 1 no drug,F3,F,Heat,attending,15,10,0.6666666666666666
Day 1 no drug,F3,F,Heat,lickbite,15,23,1.5333333333333334
Day 1 no drug,F3,F,Heat,guarding,15,16,1.0666666666666667
Day 1 no drug,F3,F,Heat,escape,15,22,1.4666666666666666
Day 1 no drug,F3,F,Light touch,withdrawal,30,32,1.0666666666666667
Day 1 no drug,F3,F,Light touch,flinch,30,12,0.4
Day 1 no drug,F3,F,Light touch,attending,30,11,0.36666666666666664
Day 1 no drug,F3,F,Light touch,lickbite,30,12,0.4
