behaviour,stimulus,n,day1,day2,p_paired,p_floor,q
withdrawal,Light touch,6,1.0660260810516566,0.9445652173913044,0.15625,0.03125,0.15625
withdrawal,Mild touch,6,1.4036999550157443,1.2470238095238095,0.09375,0.03125,0.09375
withdrawal,Heat,6,2.3450016469038206,2.1072472848788637,0.03125,0.03125,0.03125
withdrawal,Pin prick,6,1.6222052598718095,1.4769495319495318,0.0625,0.03125,0.0625
flinch,Light touch,6,0.5806592043932197,0.5911696395392048,0.625,0.03125,0.625
flinch,Mild touch,6,0.6848764539554013,0.5649801587301587,0.3125,0.03125,0.3125
flinch,Heat,6,2.0620718050065876,1.7690058479532162,0.1875,0.03125,0.1875
flinch,Pin prick,6,1.2115944432301375,1.094116809116809,0.03125,0.03125,0.03125
attending,Light touch,6,0.42510940608127307,0.21492939427722035,0.125,0.03125,0.125
attending,Mild touch,6,0.7022074416811258,0.5128968253968255,0.125,0.03125,0.125
attending,Heat,6,0.9877744839701362,0.6719228627123363,0.09375,0.03125,0.09375
attending,Pin prick,6,0.9821252749899313,0.44131868131868135,0.0625,0.03125,0.0625
lickbite,Light touch,6,0.19670613700025466,0.12835841694537345,0.4375,0.03125,0.4375
lickbite,Mild touch,6,0.3827790630422209,0.1974206349206349,0.125,0.03125,0.125
lickbite,Heat,6,1.3416968599033818,1.0340608465608467,0.125,0.03125,0.125
lickbite,Pin prick,6,0.8436461514564599,0.5558730158730159,0.0625,0.03125,0.0625
guarding,Light touch,6,0.22718954248366016,0.1095782237086585,0.5,0.03125,0.5
guarding,Mild touch,6,0.4320006747638327,0.23710317460317457,0.0625,0.03125,0.0625
guarding,Heat,6,1.0877744839701362,0.7797880116959064,0.03125,0.03125,0.03125
guarding,Pin prick,6,0.9584398381733585,0.7345767195767197,0.0625,0.03125,0.0625
escape,Light touch,6,0.42024200721131666,0.40937383872166483,0.625,0.03125,0.625
escape,Mild touch,6,0.6328352933616092,0.6562499999999999,0.21875,0.03125,0.21875
escape,Heat,6,1.0948726394378567,1.131422305764411,0.6875,0.03125,0.6875
escape,Pin prick,6,0.6656912366502129,0.642020757020757,0.5625,0.03125,0.5625
