metric,behaviour,stimulus,n_mice,day1_mean,day2_mean,day1_sem,day2_sem,n_up,n_down,n_tied,p_wilcoxon,p_mannwhitney,p_floor,q_wilcoxon
rate,withdrawal,ALL,6,1.5744752206554793,1.4086461516077404,0.17600041532019123,0.1545661813449666,1,5,0,0.0625,0.3939393939393939,0.03125,0.19736842105263158
rate,withdrawal,Heat,6,2.295001646903821,2.0530144806460595,0.23842357349467194,0.2161366455058514,0,6,0,0.03125,0.3939393939393939,0.03125,0.19736842105263158
rate,withdrawal,Light touch,6,1.0660260810516566,0.9445652173913044,0.17017221929900167,0.17031439333946485,1,5,0,0.15625,0.47039300443864773,0.03125,0.2840909090909091
rate,withdrawal,Mild touch,6,1.4036999550157443,1.2470238095238095,0.2127022432612917,0.15258310623522522,1,5,0,0.09375,0.8181818181818182,0.03125,0.234375
rate,withdrawal,Pin prick,6,1.6222052598718095,1.4769495319495318,0.23234794409481674,0.2113947679116873,1,5,0,0.0625,0.48484848484848486,0.03125,0.19736842105263158
rate,flinch,ALL,6,1.081951463135082,0.9436730738006524,0.2887862189702199,0.22065608476921036,2,4,0,0.15625,0.8181818181818182,0.03125,0.2840909090909091
rate,flinch,Heat,6,2.045405138339921,1.748172514619883,0.7049372042226778,0.5587935210212682,1,4,1,0.1875,0.8725590308923818,0.03125,0.33088235294117646
rate,flinch,Light touch,6,0.5806592043932197,0.5911696395392048,0.16330327729409205,0.1726719055044833,3,2,1,0.625,0.8725590308923818,0.03125,0.7075471698113207
rate,flinch,Mild touch,6,0.6848764539554013,0.5649801587301587,0.20942304021582508,0.1563872539013063,2,4,0,0.3125,0.8181818181818182,0.03125,0.4807692307692308
rate,flinch,Pin prick,6,1.2115944432301375,1.094116809116809,0.367933718525418,0.34546615267956254,0,6,0,0.03125,0.6991341991341992,0.03125,0.19736842105263158
rate,attending,ALL,6,0.7650906731054706,0.4380945515287364,0.2081390829611886,0.10932132248900901,0,6,0,0.03125,0.30952380952380953,0.03125,0.19736842105263158
rate,attending,Heat,6,0.9877744839701362,0.6719228627123363,0.2740799499661034,0.16691876379236226,1,5,0,0.09375,0.48484848484848486,0.03125,0.234375
rate,attending,Light touch,6,0.42510940608127307,0.21492939427722035,0.11994583783060048,0.04917797969141311,1,4,1,0.125,0.10807412087693885,0.03125,0.24193548387096775
rate,attending,Mild touch,6,0.7022074416811258,0.5128968253968255,0.2614995453696748,0.1976911483184232,1,4,1,0.125,0.6303555263618644,0.03125,0.24193548387096775
rate,attending,Pin prick,6,0.9821252749899313,0.44131868131868135,0.23582041902058395,0.10482789109780144,1,5,0,0.0625,0.13203463203463203,0.03125,0.19736842105263158
rate,lickbite,ALL,6,0.6846355625049508,0.47231548606849877,0.15117416074260406,0.12244014330060987,0,6,0,0.03125,0.17965367965367965,0.03125,0.19736842105263158
